"GSM712478"	"GSM712479"	"GSM712480"	"GSM712481"	"GSM712482"	"GSM712483"	"GSM712484"	"GSM712485"	"GSM712486"	"GSM712487"	"GSM712488"	"GSM712489"	"GSM712490"	"GSM712491"	"GSM712492"	"GSM712493"	"GSM712494"	"GSM712495"	"GSM712496"	"GSM712497"	"GSM712498"	"GSM712499"	"GSM712500"	"GSM712501"	"GSM712502"	"GSM712503"	"GSM712504"	"GSM712505"	"GSM712506"	"GSM712507"
"AC006129.2"	7.6733	6.7991	4.4854	6.2795	3.0429	3.4557	4.8541	6.3671	3.9177	6.2426	6.5325	6.0873	8.0454	8.3751	7.6841	8.9238	7.1639	7.9008	6.7184	7.1468	6.4573	7.1698	8.0983	5.5104	6.6164	8.5183	8.2398	6.4555	7.3099	4.5871
"AC006538.1"	6.3977	7.1667	6.0381	6.5449	4.4832	5.8667	5.6413	6.7414	6.5687	5.1139	6.2092	6.4319	3.7406	3.2093	7.355	6.9707	5.918	6.7339	6.6829	6.2703	4.662	2.8585	5.1831	5.3722	6.8735	6.3041	5.5243	7.385	6.0093	6.5046
"AC007228.11///BX647249"	9.0194	8.2834	7.4602	7.3004	6.1876	6.9553	8.2847	6.306	6.9283	7.542	7.7427	7.8153	8.0054	7.7332	7.535	7.6631	6.657	8.1429	8.2144	8.3664	7.8913	7.1339	7.4686	7.5862	6.8819	7.1542	6.1349	5.9189	7.938	8.4235
"AC007255.8///BC038570"	8.2732	6.8226	3.5141	7.4938	6.4907	7.3063	7.6046	7.9349	3.7955	7.2462	7.0622	6.3845	6.3683	6.9074	6.8215	6.9905	6.4963	6.9578	6.5881	7.7179	6.2943	6.6559	6.0922	7.6135	7.5309	7.5083	7.4535	6.5938	7.0814	6.2854
"AC007292.3"	8.224	8.847	7.7883	8.861	8.5671	7.6972	8.1139	8.9715	7.4808	8.8383	8.6386	8.8821	8.8228	8.5283	8.7271	8.9312	7.8451	9.0977	8.7825	9.0674	7.6731	7.9907	8.1119	8.8466	9.2436	7.1492	9.5121	8.2402	7.6696	8.8177
"AC007349.5"	6.1722	3.1844	3.4866	3.413	4.8704	5.4599	3.4318	4.6666	5.6724	3.841	3.7034	3.9592	0.8624	5.6333	6.354	6.1875	3.2606	5.6349	5.8765	6.9948	3.9831	2.5973	4.4199	2.8704	6.2692	6.3719	5.8648	3.3792	4.2949	4.9306
"AC007362.3"	3.9201	6.0414	5.3002	6.5642	3.7236	3.0968	3.6371	3.8178	3.485	3.5794	3.4726	4.9235	4.6012	3.2288	6.4567	3.7049	4.9962	4.0401	5.5424	4.5979	4.494	4.3572	5.4106	6.5417	3.1819	5.5474	4.2685	3.7211	4.9565	6.0755
"AC007364.1///FLJ32955"	7.0064	6.1786	5.1685	2.8115	3.9975	6.7213	6.285	1.9277	6.5598	5.8009	6.839	6.7016	6.8187	5.1315	6.354	4.0333	2.0235	5.5606	5.8906	6.7619	7.0919	5.5607	3.292	4.8033	6.2128	4.5282	3.1439	6.7247	4.0818	5.3347
"AC007365.3"	9.1267	7.8154	7.5652	7.9029	7.7915	7.2178	7.0382	9.0019	7.7484	7.6956	7.8729	8.1923	7.2955	7.4245	7.1341	7.7653	6.993	7.264	7.7823	8.8299	8.0233	7.2258	7.7858	6.1288	7.4911	8.6695	6.5615	8.5955	8.7795	8.5655
"AC007389.3"	6.6333	5.6552	5.9821	6.1911	7.4472	5.6028	6.612	5.1307	4.6932	6.2857	7.0454	5.2415	6.4688	6.9333	7.552	6.5114	6.0875	5.4949	5.7058	5.5431	7.1059	6.2675	7.1942	7.3573	7.4389	7.3877	8.6538	6.7451	6.4288	6.0576
"AC007557.2///BC031974"	8.7252	5.9265	6.5824	6.8268	6.5246	5.7056	6.8324	3.4562	7.267	6.1539	3.4968	6.8045	7.1663	5.6827	6.8688	4.6406	5.9456	6.5806	6.7077	7.5379	6.5587	5.5516	7.0397	6.4192	6.3779	4.3344	7.6701	7.6586	6.8991	6.8682
"AC007787.2"	4.842	4.7938	4.6928	4.8099	4.8572	5.4279	7.2452	5.4932	3.8457	5.2441	5.7082	5.0699	4.4643	2.8772	5.1214	4.1988	4.6006	4.8244	4.3129	3.8741	4.9943	3.6818	4.5215	3.7766	4.8543	5.1738	4.0507	4.5112	4.3266	5.1625
"AC008088.4"	7.1318	2.3511	6.6134	7.2362	6.5273	6.5674	6.9601	7.331	6.6646	6.1209	6.6153	7.073	6.5576	6.4143	6.5525	4.5205	3.6223	6.3871	4.3061	6.9539	7.8079	4.9904	3.4324	4.6583	3.0563	7.0128	2.4417	6.2806	6.2113	7.0297
"AC008746.12"	8.0894	5.9105	7.0011	7.4281	6.8827	6.8734	6.0457	5.3471	4.1086	3.9494	6.6636	7.3155	4.2944	6.6251	6.3461	4.7182	7.129	7.5189	7.5218	6.6355	6.5005	6.8175	6.8	5.2284	7.0978	5.3847	4.886	7.7821	7.0016	3.7434
"AC008753.4"	8.1472	7.9153	8.4442	7.0871	7.1697	7.604	8.2933	7.229	4.5829	6.8749	5.3208	6.7148	7.0582	7.6271	7.7288	7.9909	7.1744	8.024	6.7554	8.326	7.4874	6.9691	5.6728	7.3003	6.2413	7.756	8.199	7.9991	7.8581	7.6037
"AC009120.6"	8.4879	8.8042	7.6181	8.5575	8.3543	8.7311	8.3878	8.7728	8.0325	8.4546	8.2415	8.434	9.0795	8.7337	8.9214	8.7837	8.9503	8.8539	8.8982	8.9965	9.0282	8.3476	9.099	9.0767	8.8217	8.9692	8.0113	8.759	8.9939	9.1598
"AC009133.15"	9.6239	9.2325	8.7285	9.4932	8.6703	8.9014	9.3215	9.2368	7.7482	8.8486	8.8777	8.1101	9.118	8.8712	9.2042	8.8705	8.3431	8.9643	8.9621	9.0953	9.5532	7.85	8.2337	8.6089	8.6551	9.3548	10.4097	9.8459	8.8718	9.2455
"AC009502.4"	5.6413	5.2788	8.5782	8.1191	8.2811	7.1687	7.691	7.7595	7.5623	6.4666	7.6222	7.0298	7.9762	7.3927	6.1363	6.4235	6.2409	7.6236	5.8034	7.9653	7.9927	6.8884	5.4688	7.6039	6.1859	6.8993	6.9681	5.267	7.5094	7.572
"AC010095.5///RP13-1039J1.3"	3.5929	6.8003	3.2899	2.8805	3.0843	3.015	4.2766	4.2935	3.6075	3.3586	3.9404	3.4327	4.0869	2.7088	3.5743	3.633	2.713	2.4151	3.574	3.5774	2.6904	2.5785	3.6338	2.7678	2.9384	4.2021	5.1541	3.6413	3.8331	4.3163
"AC010145.3///MYCNUN"	8.3548	7.3155	6.5326	7.2135	7.3318	7.1804	7.6426	7.5217	6.5745	6.6416	7.5654	7.2967	6.4937	6.9568	7.1347	4.1226	6.9315	7.1346	7.5709	7.2651	8.6046	6.7465	7.9353	6.6699	7.3242	8.0007	7.6198	7.5695	8.4621	7.784
"AC010145.4"	4.7165	4.4659	4.9108	4.7981	4.1382	3.438	5.9241	6.9338	3.6914	4.4031	5.5313	5.8791	4.158	4.6382	4.9755	5.2782	3.0983	4.489	4.3874	4.1639	4.067	2.2618	6.2752	5.2701	4.5628	4.4596	4.6885	5.4454	5.1437	5.1833
"AC010524.4"	8.4386	8.1718	7.9659	7.9588	6.4781	7.7728	8.5258	8.0482	6.5904	7.5002	8.4208	8.2849	7.4006	7.9917	8.4112	8.0464	7.5082	8.302	7.071	8.0202	8.8831	6.8671	7.4575	8.463	7.63	7.6607	8.6079	8.489	6.4195	7.4362
"AC011997.1///BC021693"	1.8525	4.7325	1.8564	6.2231	0.8049	5.9596	2.4198	2.4059	5.4452	2.5884	3.2377	5.6069	2.5748	5.3682	3.971	6.0932	4.3811	4.2063	1.7513	2.735	4.0032	5.0797	2.5834	5.2511	3.5091	5.9309	6.515	4.081	3.6303	1.8788
"AC012360.6"	7.5747	8.2508	6.9773	7.7023	7.1796	6.6262	7.9118	3.1511	2.8072	6.9962	5.1876	6.7478	7.4293	6.5725	6.6654	7.1068	4.0092	6.8331	7.2942	7.7838	8.097	6.5647	7.0848	6.5155	7.275	7.8721	8.3593	6.5795	3.7443	7.9688
"AC012499.1"	6.7434	6.5295	5.8618	4.1316	6.4113	6.1392	6.9981	6.1823	5.1466	6.5616	5.6646	2.1004	6.1966	6.4998	6.3999	5.5467	5.4656	6.2859	2.1064	6.4182	7.0429	2.4008	3.1367	5.5634	6.7339	7.2562	3.0758	6.6891	3.7546	6.7163
"AC012531.25"	6.1672	6.4772	5.0763	5.2312	4.4945	6.6973	6.431	5.5179	7.1987	5.1572	5.3885	6.5545	5.2407	6.9065	4.6565	7.2419	3.8623	4.7875	6.7889	6.0358	6.3097	4.1044	4.4992	7.0439	6.7779	4.5789	7.3361	6.3035	7.963	5.8647
"AC013463.2"	6.9968	3.9039	3.4178	3.4199	5.0175	4.5292	6.9855	7.0337	3.7684	3.6918	5.8953	4.161	5.0389	6.9123	7.554	6.7821	3.9675	7.503	5.4854	6.158	8.1665	6.6818	5.8962	5.9652	5.9054	7.0355	4.2311	6.9593	7.1594	5.0678
"AC013733.4"	4.5891	2.4657	4.2612	2.9409	2.836	3.8678	6.8906	5.4004	2.1585	2.7709	1.9076	3.8671	1.5873	4.481	3.539	1.9198	2.2584	2.633	3.8578	2.4528	4.5667	3.788	2.6559	3.667	3.2996	5.3968	5.1669	4.8329	3.3483	4.1288
"AC016831.7"	7.6972	7.6414	7.1686	7.3693	7.2387	7.0745	7.0204	4.1648	4.4472	6.4567	7.5432	7.5355	7.246	6.7818	4.6524	7.0826	6.6237	6.2664	6.9522	6.4266	7.5918	6.2497	6.5582	6.2365	7.0242	5.3352	7.083	7.2381	5.3625	7.4335
"AC016999.2"	6.2346	7.0858	6.5122	5.6947	6.3229	7.3752	6.4053	5.7032	6.1252	6.5955	5.8211	6.694	7.3011	4.9627	6.7244	7.0341	4.7119	8.2038	5.6165	7.4642	8.0838	6.0641	4.6208	5.9998	6.427	6.5646	8.2695	7.7287	6.2474	8.9436
"AC017002.2"	9.648	9.2634	8.057	7.9754	9.2423	9.611	7.8212	8.4496	8.3187	8.1313	8.1547	8.1815	9.333	8.7937	9.073	8.8528	8.6011	8.8931	9.0701	9.1266	7.1655	8.2527	9.175	9.385	9.4076	8.053	8.8532	7.9346	8.8895	9.181
"AC017104.6"	6.525	7.2921	4.6358	5.7555	4.5006	4.7547	6.7439	8.1652	6.0646	5.7738	6.5631	5.8414	5.5262	8.1235	4.9949	6.9136	6.0688	7.4586	6.0962	5.6363	7.2693	7.9223	6.7553	8.2257	7.7842	8.2072	7.6276	8.94	6.3448	9.5955
"AC018462.2///BC071802"	6.7004	8.6464	7.9336	8.4768	7.7543	7.7791	4.8356	8.6037	7.8473	6.4557	7.3884	7.8921	7.5989	8.824	8.2124	8.0781	7.6362	8.4888	8.6637	8.7439	8.0602	7.3311	7.9648	8.0781	8.7725	7.6009	7.6792	8.7338	8.7438	9.0681
"AC018755.17"	4.2762	4.1569	4.0841	3.8411	4.93	2.4143	3.7638	3.879	4.512	4.1525	2.7746	2.4937	0.838	3.6653	2.0447	1.605	1.0825	5.3774	4.3936	3.6543	1.9505	2.8972	3.9893	1.4456	3.402	2.9717	3.698	4.527	7.4651	3.983
"AC018766.6"	5.2915	5.1432	3.5022	4.3977	3.4861	5.852	4.7061	5.0189	5.0526	5.2443	3.1268	5.8196	6.1068	6.025	6.5857	3.9825	6.6539	4.3546	4.0095	5.0919	5.9916	2.4124	4.1803	6.3679	4.151	5.0289	7.4943	4.9091	4.4266	5.1361
"AC018816.3"	7.3463	6.9001	5.9429	5.6321	3.6991	6.9982	6.5901	6.1064	3.2942	5.6778	3.7567	6.0604	3.9211	4.8223	7.273	4.035	5.3307	6.6332	3.8704	4.9228	6.4111	1.5918	1.6992	5.8071	2.8011	5.848	7.3606	6.2432	6.1006	4.3511
"AC024560.2"	7.7355	8.887	6.9982	7.2909	7.0833	7.0686	7.7485	7.896	5.599	7.2832	6.1992	5.7143	7.0845	7.8764	7.9094	7.3741	7.1589	8.4504	8.0616	8.1462	6.293	5.5857	6.582	7.161	7.2424	8.6032	8.7885	8.6202	7.9457	8.0964
"AC025442.3"	6.7961	6.6737	6.2013	6.9452	6.1427	6.891	6.7728	6.2644	5.0296	6.6309	6.8281	6.7306	4.1318	5.0713	6.7777	5.1326	4.913	7.3349	5.7169	6.9675	7.5204	4.1731	5.154	3.902	7.2607	6.9096	8.1054	6.3406	6.7292	6.8707
"AC064852.4"	6.9014	5.9514	4.6493	4.6228	5.2973	3.6348	5.0894	5.8149	5.3656	6.0455	4.9847	4.482	6.9251	5.7401	4.0438	5.0148	5.1478	6.6908	5.6381	6.277	6.7729	4.4963	3.0394	5.7897	6.0721	5.8603	7.2028	5.8972	7.3515	6.4753
"AC067956.1"	4.4838	5.7426	3.3505	3.9491	1.2778	2.448	4.1433	6.2761	2.4481	1.8661	2.5492	2.9537	5.8701	2.0217	2.7642	3.6848	3.0151	2.5556	3.1444	6.8364	5.8808	4.5746	2.9874	0.8302	6.3606	2.5145	3.8204	1.9579	4.9774	4.9919
"AC068138.1"	7.6757	8.4645	7.6598	8.0101	7.7189	7.9895	8.339	6.4064	7.1944	7.1062	7.1518	7.7818	6.9775	7.6115	7.172	7.7062	7.6023	7.2415	7.2352	8.1605	7.6924	6.7662	6.171	7.311	6.6489	7.4988	7.6661	7.613	8.1806	7.5429
"AC069277.2///AF279782"	6.4275	1.972	3.9617	6.3516	3.6687	4.9808	4.1473	5.1741	4.527	3.2276	3.8117	2.8674	5.8295	3.181	4.012	3.27	5.3254	4.363	6.1757	5.1524	3.8249	2.1111	4.0649	5.2008	3.7892	1.7438	3.3689	2.2163	2.5914	2.7596
"AC073283.7"	9.1219	9.0515	8.0772	7.9885	7.5363	7.3929	7.3952	7.626	5.1525	7.994	8.8169	7.83	8.5447	8.3337	8.7959	7.7554	8.7337	8.7888	7.2772	7.228	6.8565	7.8305	7.7053	7.7247	8.0663	7.9123	5.0294	8.6752	8.8411	8.3129
"AC073321.4"	3.4394	6.2623	3.3164	6.8854	6.2568	5.6652	7.0143	4.4542	5.4524	6.7383	7.1924	3.2603	6.6126	7.2748	6.7728	2.9023	6.218	6.8695	7.6053	7.7512	7.5361	6.0716	6.8632	7.023	6.6296	7.2579	2.7917	7.9036	6.5834	7.5872
"AC074212.6"	5.7052	5.7108	5.3514	6.0883	5.8269	6.0003	7.8507	6.5279	6.6158	5.3336	5.2112	5.9634	5.0362	5.3604	5.7365	6.2864	5.0627	6.3772	6.0077	6.0782	6.6268	4.6631	6.1883	5.5405	6.6528	6.0196	6.2835	8.2758	6.1826	6.4427
"AC078842.4///AK094915"	7.9028	6.464	7.3486	7.2696	7.1896	6.3222	6.1873	6.5321	6.6564	6.4662	5.1836	6.9839	4.0329	7.123	6.3181	3.3449	6.4755	7.0739	6.2498	6.0081	6.978	5.9257	5.4812	7.0365	5.7672	6.1886	3.1689	4.7508	2.2819	7.2509
"AC078883.3///AC078883.4"	4.8029	7.3912	3.8095	4.9156	3.6882	3.569	5.2556	6.269	4.7933	6.3965	4.7795	6.5002	3.1351	6.2927	5.0828	4.7032	4.8586	5.0258	5.838	7.2808	7.143	4.0234	4.4583	3.2531	4.162	4.875	3.3989	3.4728	4.8439	5.8534
"AC079305.10"	4.6499	7.1027	6.058	7.2233	6.731	6.7021	5.9547	5.3559	3.9825	4.7928	6.5714	6.5841	5.8222	6.0237	4.3796	5.0997	4.6441	4.3805	5.9501	4.9912	4.6753	3.1715	6.1479	6.2313	3.1423	6.5883	5.5219	5.8391	6.8316	8.114
"AC079767.4"	8.2352	8.581	7.5455	8.2388	6.3096	6.251	8.1917	7.8768	7.0626	7.9302	9.0354	9.274	8.2823	8.6482	8.0244	8.6515	8.6415	8.8477	7.8011	9.0863	9.1764	8.4029	8.6455	9.1684	8.7767	8.8083	9.4585	9.5596	7.5721	9.208
"AC079807.4"	6.3776	4.6824	6.181	6.6676	6.4754	6.01	7.0695	7.184	5.2405	6.65	7.03	5.2661	5.5152	3.1867	6.3428	3.2544	6.1351	6.3862	4.8045	7.0349	6.2039	4.5385	3.7895	6.3464	6.3941	6.5931	6.3259	6.9092	7.513	6.6016
"AC083843.1"	6.2196	6.6717	5.84	3.5478	6.1044	4.8633	6.0687	6.1878	6.6235	6.9039	6.0349	6.2323	7.4451	7.8074	7.1901	6.8557	7.2022	7.1037	6.017	7.0981	8.0729	7.3487	7.705	7.4359	6.9309	6.7904	6.7553	7.3689	7.1841	5.7193
"AC083949.1"	8.1142	5.8979	7.4937	8.7388	7.3993	7.2586	7.238	8.2862	8.5971	8.3084	7.5019	7.6588	7.9437	7.4679	7.3751	7.636	7.9016	7.7793	7.9126	8.6622	8.464	7.8051	7.7618	8.1279	8.7407	7.9399	7.86	8.951	8.6615	9.1787
"AC087501.1"	8.4335	9.0528	9.2838	9.8129	9.9185	8.858	9.2116	9.0438	10.6701	8.3889	9.5606	8.8168	9.6819	6.6581	8.8797	9.425	9.0938	9.1428	9.7892	9.4081	8.8594	9.2458	8.0949	8.6694	9.2584	8.9065	9.587	9.3483	9.5651	9.8203
"AC090627.1"	6.5541	4.6139	2.0814	2.087	4.0042	3.4487	2.9157	4.8214	6.8536	5.1581	3.7332	4.1845	7.8101	5.4688	5.2352	4.1081	4.2611	6.2826	6.8431	6.8186	7.0803	3.4823	3.8363	6.4931	4.339	3.5172	5.1559	3.8193	7.7892	6.0907
"AC091133.1"	7.8782	8.208	7.3601	6.5952	6.1553	7.835	5.7048	7.8208	7.1967	7.3736	8.4345	7.51	7.981	7.9565	7.716	5.3685	7.2688	8.0472	8.4441	7.2479	8.7496	7.2206	8.0483	8.3675	8.1981	7.9341	8.9738	7.4228	8.4163	8.3897
"AC091633.3"	5.9618	2.9881	4.0239	-0.7472	0.816	5.4175	7.0802	6.0532	6.1756	2.7879	5.7941	6.3595	6.3771	5.8562	5.6101	2.3096	5.1678	5.5169	5.7574	5.9521	5.0719	5.5811	2.1666	5.8807	6.6767	5.5364	5.7091	6.1969	5.5026	6.1465
