"GSM712478"	"GSM712479"	"GSM712480"	"GSM712481"	"GSM712482"	"GSM712483"	"GSM712484"	"GSM712485"	"GSM712486"	"GSM712487"	"GSM712488"	"GSM712489"	"GSM712490"	"GSM712491"	"GSM712492"	"GSM712493"	"GSM712494"	"GSM712495"	"GSM712496"	"GSM712497"	"GSM712498"	"GSM712499"	"GSM712500"	"GSM712501"	"GSM712502"	"GSM712503"	"GSM712504"	"GSM712505"	"GSM712506"	"GSM712507"
"LOC101929857///LOC101929864///SLX1A///SLX1A-SULT1A3///SLX1B///SLX1B-SULT1A4///SULT1A3///SULT1A4"	10.5457	9.7215	9.9958	10.1986	10.1317	9.8778	9.2307	9.5806	8.7637	9.8585	10.2392	10.4044	10.1262	9.7011	9.98	9.5552	9.8903	9.9671	9.8713	9.737	9.1838	10.0384	9.8505	9.5981	9.7337	9.7215	8.3331	9.6075	10.1525	10.0112
"LOC101929857///SLX1A-SULT1A3///SLX1B-SULT1A4///SULT1A3///SULT1A4"	11.9874	11.7067	11.04	10.924	11.1377	10.3248	11.1574	11.5049	10.2326	11.9228	11.5319	11.6648	11.3221	11.4492	10.9761	11.0356	11.0834	11.3885	11.3761	11.2184	11.5577	11.1966	11.0186	11.0583	11.1665	10.9593	11.2219	10.779	11.4501	11.4262
"LOC101929865///LOC101930243"	4.5106	6.0933	4.5991	5.4041	4.7283	4.8707	5.7994	5.219	5.7989	4.2744	5.5227	6.3764	4.9274	4.4298	5.153	4.7531	5.1065	4.6631	3.343	5.3842	6.0195	5.5163	5.0464	5.0184	4.2351	5.1233	6.426	6.5225	5.9138	6.3142
"LOC101929897"	8.4095	7.9844	6.9914	7.2911	7.7705	9.0678	9.2232	7.1905	5.5049	6.5529	7.7392	6.5291	7.8483	7.95	6.9677	6.4782	7.4815	7.4659	8.4643	6.717	8.0827	7.0811	6.4927	6.6384	6.5692	6.4322	7.5277	7.8855	7.0566	9.415
"LOC101929949"	6.3271	4.0299	4.445	7.3973	6.1532	7.2106	2.6106	5.2264	5.1408	4.3724	5.8618	4.663	4.1219	6.213	5.502	2.4895	5.158	6.4442	7.3907	7.8682	6.5579	3.8685	3.2544	6.7505	5.0745	7.1995	2.9629	6.5852	6.8602	6.8557
"LOC101929953///LRRC37A5P"	8.0178	8.0022	6.2451	7.0183	6.9731	7.1542	7.3602	7.7096	1.6572	6.7765	7.227	2.7177	5.081	6.7556	4.8198	6.0346	6.6827	2.2576	7.1401	7.0294	6.5675	5.4918	6.2502	7.1092	6.4214	7.3716	4.6922	3.9042	4.6091	8.0032
"LOC101929963///LOC101930299"	6.3486	7.6996	5.1919	7.3583	5.1786	7.1173	6.9157	7.4156	6.6213	6.9031	6.0259	4.9287	6.9006	6.6853	6.5425	6.5852	6.6557	6.4782	6.4248	6.8194	5.8918	6.1997	5.8805	6.0745	7.1198	7.2101	7.1959	6.6379	7.3881	6.4238
"LOC101929988"	5.5899	7.4595	6.6281	6.2369	4.2226	6.544	5.201	6.1011	5.5991	5.2474	7.2916	6.1709	7.3753	4.5916	6.3365	4.2341	6.3958	6.7612	6.3264	5.7833	7.5486	5.7885	5.8799	6.4065	6.6061	3.1395	6.9958	6.7354	5.8447	4.9518
"LOC101930028///LOC101930449"	2.5094	3.622	2.9299	3.6846	0.8268	3.2093	6.2413	3.6261	2.4727	2.5174	5.8053	1.707	1.8317	2.3379	3.2765	2.8087	-0.0719	1.6871	1.8201	4.8473	2.5826	1.1367	1.8339	2.8212	2.4722	4.5689	4.3211	4.3542	1.6841	5.1653
"LOC101930048///LOC101930053///VLDLR-AS1"	7.9051	6.6888	4.9329	7.794	3.7154	6.5832	8.2066	7.6775	6.7272	6.4908	5.9545	6.519	5.0199	7.0246	7.1363	7.8987	6.3967	7.2622	7.8283	6.3288	8.0612	6.0677	6.4738	7.2561	6.6749	7.7131	7.5132	6.6931	5.3966	8.2627
"LOC101930114"	5.0394	5.4164	3.9078	7.955	7.7122	7.1198	7.2026	8.1113	7.8955	4.726	6.4547	5.5192	4.2472	3.7432	7.0957	7.4816	4.46	4.6391	4.7183	4.4198	5.159	6.092	5.962	4.3976	4.5595	4.4248	4.8169	8.5282	6.4446	5.5979
"LOC101930149///LOC101930286"	6.7013	7.4917	3.4599	3.2605	2.3617	3.9693	3.7969	4.8731	4.0859	3.314	3.1012	3.8073	2.7426	3.8108	4.2445	2.6037	6.7195	3.4145	5.5284	6.617	4.7623	2.5879	0.9893	4.6729	2.32	3.3441	2.5869	4.8982	3.8232	4.977
"LOC101930421"	4.8917	5.9769	4.7963	5.6329	4.3544	4.7732	5.5632	7.7065	4.885	5.6774	4.576	6.8598	4.7101	4.0828	4.6513	6.2786	4.3237	7.5305	7.0128	5.2017	5.3255	4.3245	5.2327	4.9642	4.8081	6.2675	8.1737	7.8916	5.3922	5.636
"LOC101930541"	8.1119	7.1227	4.9558	4.0933	6.1114	3.8273	4.9369	3.27	6.2696	6.6765	3.9451	4.9481	5.6896	4.5204	3.8385	3.23	5.206	7.4659	4.5102	3.6008	6.4869	5.6285	3.4578	5.7887	3.6915	6.3222	7.7031	6.3285	5.045	6.6279
"LOC101930566///LOC102800447"	7.1256	4.8429	5.7972	3.47	3.6298	4.831	3.4652	4.8646	2.987	6.4784	6.77	4.7799	4.0831	3.648	4.8756	6.636	3.4616	4.4587	6.6865	4.7023	7.4788	4.2758	2.5837	6.3038	5.025	5.5979	7.0288	5.8435	6.9007	7.4238
"LOC101930593///LOC102724352"	5.09	4.3501	3.0119	4.3692	4.4251	4.5421	6.8434	4.2702	3.7649	4.0355	3.382	6.1684	4.2047	4.5434	3.7905	3.2891	2.1613	4.4651	3.9346	3.7781	5.9181	3.4593	2.1513	3.8809	6.7975	6.2198	3.5574	6.8155	5.3271	6.7581
"LOC102467079"	6.1377	4.72	5.1746	4.678	5.0174	1.8633	4.0076	5.2449	2.8046	4.8554	4.8328	1.3231	6.4003	3.8513	5.0914	4.5085	5.3483	2.6674	3.0745	5.6498	6.7491	4.887	6.0606	5.6576	6.9355	6.1412	7.21	4.8059	7.18	3.0419
"LOC102546226"	4.1962	4.0087	1.9079	2.9996	4.3688	3.0507	4.0342	6.5847	3.6781	3.4777	3.9945	3.7551	3.5784	1.4296	2.832	3.4814	3.1105	3.1794	4.4732	6.7406	3.6893	1.8935	1.6642	3.2525	3.6425	2.5706	4.4098	4.0366	3.6017	6.3466
"LOC102546294"	6.5599	7.2149	6.162	6.7748	4.2126	6.6104	7.9315	7.5954	6.0807	7.04	7.5547	7.1215	6.8002	7.2196	8.146	6.3703	6.809	6.2727	7.5743	6.5594	7.4983	5.995	5.8571	6.4238	7.109	6.6776	7.335	7.3418	7.0093	7.5432
"LOC102546299"	5.3128	6.1325	3.3033	5.1676	5.1581	4.646	4.1264	5.0808	3.9801	6.1526	4.0039	6.2688	4.3453	5.6074	3.9195	3.1589	5.1691	4.2412	6.2096	6.4451	4.9315	3.1729	5.5812	3.8349	4.5628	3.1544	3.6566	4.4596	7.0896	5.6414
"LOC102606465"	7.896	8.8236	9.1916	9.5192	8.5861	8.3268	9.107	8.8018	9.1316	7.7466	8.9024	8.4227	8.8894	8.9169	8.5821	9.1273	9.2516	8.8031	8.5811	8.4316	8.9066	9.0407	8.8907	8.699	8.4235	8.7105	8.8466	8.3831	8.3617	8.3545
"LOC102659288"	6.1287	6.8357	5.1066	6.1668	1.4329	3.1075	6.3334	6.6723	3.4836	5.825	2.8271	5.4175	3.5754	4.6228	2.6286	5.7622	1.3004	5.8455	5.5012	6.125	4.1594	1.2276	1.1452	1.0593	6.8886	7.2091	7.6384	6.9315	5.8646	3.803
"LOC102723448"	7.0709	3.8714	6.492	4.9769	4.3805	6.2089	4.688	6.881	5.2032	5.7141	5.9025	6.0968	5.1243	5.8535	5.5132	4.351	5.3454	6.7394	6.389	4.7611	5.9313	5.4085	4.6601	5.1195	6.8992	7.1103	3.3712	4.0243	6.8222	7.3683
"LOC102723600///MIR1302-10///MIR1302-11///MIR1302-2///MIR1302-9"	7.3903	7.5481	4.9915	5.0558	3.8263	4	6.5789	6.7802	4.9732	5.3861	7.4527	4.8142	4.7108	4.6128	7.2261	4.4218	4.9603	6.3125	4.9326	5.5962	6.1644	6.5971	3.7097	5.386	4.9241	6.4994	4.8506	5.921	4.742	8.2389
"LOC102723661"	8.5892	7.9117	6.8761	8.0376	6.912	7.2426	7.707	7.7178	7.6019	7.8538	7.7597	6.9314	7.783	7.771	8.3951	7.1486	6.8503	7.9461	7.2628	8.4885	8.2476	7.2865	7.0954	6.8165	7.1665	8.1605	8.351	7.4993	7.7488	8.5533
"LOC102723678///LOC102723709"	6.814	7.3426	6.3695	7.3047	4.9295	6.3265	6.4885	7.4203	7.9221	6.66	8.0779	7.298	7.0448	6.817	7.4236	7.6216	7.2332	7.2034	6.7491	7.9858	7.0413	5.5817	6.8739	7.2886	7.5376	7.0877	7.9769	7.9497	7.0818	8.1394
"LOC102723692"	3.6866	3.5976	5.8265	3.8451	3.7723	4.3825	5.4035	3.0723	6.738	6.8723	5.5646	6.1933	3.0896	3.4651	5.4795	2.7379	4.8545	7.2106	4.2017	4.6992	3.9764	6.7179	5.9921	5.4676	2.935	4.4446	5.6909	4.6837	3.8548	6.3122
"LOC102723721"	4.0426	6.704	4.0351	5.0341	6.7505	6.177	7.4375	5.7863	5.9704	5.2252	5.6068	4.1148	5.9728	6.4532	7.1384	4.8363	5.5762	6.5019	6.8557	7.2158	3.896	6.0089	4.5223	7.2853	6.7679	5.9197	8.5084	4.7058	7.5927	4.8044
"LOC102723722///NDUFA6-AS1"	6.3594	5.5203	5.1937	3.5387	2.5208	4.3853	6.3488	5.3106	2.2811	2.7725	4.5439	6.5472	5.0259	2.7126	3.1467	7.0366	4.8614	5.4419	5.1418	3.3728	5.1157	3.6766	4.5763	3.225	3.03	4.9037	6.9948	5.2978	5.2521	3.957
"LOC102723742"	3.5759	3.6912	2.0224	3.2412	3.7422	2.9997	5.2588	6.2848	1.8288	2.826	2.0533	3.1105	4.7065	1.1085	6.5429	2.2057	4.6594	2.9956	3.3738	5.2143	4.9369	3.2875	2.1867	1.6831	5.9159	1.2996	3.5781	6.5615	2.8809	1.6245
"LOC102723757"	6.824	4.5999	5.9817	4.051	5.6697	5.6944	4.5978	3.7733	2.2427	3.6877	2.8553	6.6249	4.6856	4.6653	6.809	5.1033	3.5823	7.5283	4.4434	4.0794	3.4189	3.9952	3.3465	6.9766	7.6157	2.9111	4.8148	4.1861	5.437	5.3018
"LOC102723779"	9.8132	9.4197	9.7654	9.746	9.5503	9.9981	9.6979	9.9803	9.6513	9.8283	9.0574	9.7089	9.7919	10.2734	10.4099	9.8453	8.8083	9.7715	10.0315	9.8597	9.4533	9.1906	9.4257	9.6273	9.4513	9.8421	9.5556	9.768	9.8369	9.4703
"LOC102723809"	4.9146	6.0665	5.437	6.4399	3.0777	5.2754	6.7195	2.1509	2.4051	5.6285	5.7848	6.0415	6.474	5.149	5.7265	6.747	2.315	7.0967	5.9543	5.5641	3.8559	5.4361	6.4889	6.1061	5.6639	3.705	7.023	3.7441	4.3217	5.3203
"LOC102723831"	7.9014	7.5692	6.5923	7.0018	3.9231	6.8864	7.861	4.5801	4.8989	3.5271	5.024	5.6078	6.0737	6.0117	5.3544	6.3814	5.7512	7.3616	4.1632	5.6674	5.2537	5.4446	2.9155	5.3462	4.9497	6.8741	7.4619	7.2466	7.7287	6.306
"LOC102723927"	7.8011	6.9533	3.0849	2.3659	3.2436	4.7238	4.7905	3.5426	4.8502	2.1161	1.6288	5.6417	5.6343	1.9998	5.8025	2.3379	3.6348	3.4766	2.3071	3.9814	2.7293	1.4666	2.0055	2.3849	4.6047	4.428	3.6175	3.3349	2.5263	4.4344
"LOC102723932"	3.3462	5.1239	5.1487	4.3301	3.82	5.3073	3.8656	3.8713	5.6381	7.2453	3.7938	4.8633	2.9245	5.5816	4.8465	4.1655	4.2011	5.1958	4.5542	4.3468	5.0069	4.4175	3.3481	7.2338	5.8823	7.1015	5.7121	4.3095	6.8892	4.9127
"LOC102723954"	7.3127	2.2465	4.9671	4.0305	4.0561	6.4283	6.5636	5.7794	1.6669	2.4698	4.6975	7.4818	5.3322	6.2569	6.472	4.6622	4.1377	4.8669	3.685	7.0199	7.0511	3.2932	3.9056	3.8512	5.3369	3.6831	5.9787	3.9016	4.7557	4.1205
"LOC102724009"	4.7572	3.7978	3.4019	4.2786	3.5491	4.7748	4.6248	5.3812	2.6874	3.1302	4.4248	3.2674	5.275	5.2408	3.7594	3.8883	2.4606	4.6037	4.7599	4.8143	5.3468	3.8703	4.02	4.7217	3.4009	4.566	5.3471	4.7964	4.5551	4.1753
"LOC102724017"	5.3185	7.8443	7.6318	7.2776	6.1403	5.8745	5.7137	6.7704	7.1387	6.3828	7.5916	6.8578	6.8244	7.3647	7.4426	6.9052	6.5983	7.4751	7.1335	7.967	8.2573	7.0893	6.8632	7.3511	7.6515	8.3006	7.1324	6.9014	4.4382	7.2513
"LOC102724030"	4.6573	6.5422	3.5363	4.7815	3.6019	4.5906	4.8188	6.7139	3.4157	4.5723	3.5864	4.1353	3.5608	2.2394	4.3223	4.5654	5.5432	2.7664	2.6716	3.6865	3.2742	3.5415	4.5658	2.7693	3.628	3.8883	4.3155	3.4067	2.9492	4.3096
"LOC102724094"	8.7882	8.9366	4.4329	7.4636	8.1784	5.959	8.6355	8.7065	3.5762	8.0751	8.1507	8.0821	7.7099	8.18	7.8526	8.128	7.8979	8.8595	8.9462	7.9536	7.7376	6.0254	8.1414	8.3265	7.8076	8.0185	7.124	9.6348	8.9719	8.92
"LOC102724201"	7.7603	5.0269	7.2471	7.1369	6.8757	7.1242	7.5537	7.6919	6.0939	6.8345	7.0722	4.7992	7.2115	7.3751	7.9044	7.4177	6.8915	7.0091	6.9745	7.1232	6.9662	6.1982	7.4636	7.4617	5.2308	7.4148	7.7559	4.9001	5.9903	7.0953
"LOC102724312"	8.6404	8.7727	8.5935	9.0456	7.9479	8.7847	8.8793	8.119	8.0416	8.5074	8.4282	8.6848	8.3422	9.0018	9.1534	8.623	8.1804	9.2081	9.0242	8.6463	9.1312	8.2965	8.0966	8.1733	8.6894	9.0887	9.4499	9.4291	9.4124	9.1362
"LOC102724316"	5.3797	7.1765	5.6851	4.1364	3.991	6.3511	5.215	6.5725	7.0587	7.4015	6.8187	6.3274	6.8762	6.0851	6.9275	4.117	6.5478	5.9672	6.0246	7.1802	7.7656	6.4964	6.3003	7.2597	6.9344	7.5687	6.137	7.5279	5.7126	5.8053
"LOC102724316///PTCHD3P1"	5.0709	7.5157	7.2268	7.6325	6.9103	7.2812	6.2645	7.3924	7.8665	6.9146	6.6644	7.3133	6.4353	6.7485	7.0924	6.9036	6.3676	7.1652	6.6749	7.1365	7.9266	7.0653	7.2942	7.6373	6.8616	6.8736	7.6669	7.2285	6.2751	7.6551
"LOC102724323"	4.0584	4.6227	3.4415	5.9055	3.6853	3.3963	4.2926	7.0134	6.3428	6.5249	3.9394	6.4809	4.0882	2.9805	3.0613	6.22	6.3127	4.5142	3.9548	4.5152	5.0043	4.2	4.1028	3.538	4.2042	5.2508	7.7119	4.7174	7.759	4.7709
"LOC102724362"	4.4074	5.1208	4.22	5.0244	2.8898	5.008	6.5439	5.482	4.0001	4.6106	5.2538	4.5693	4.7005	4.4554	4.0422	4.4134	3.5654	4.9717	5.2146	5.0941	5.0523	3.7262	3.4011	5.3127	4.5716	4.5406	5.4336	5.4441	5.2371	5.2385
"LOC102724387"	8.9836	8.7735	9.6528	8.0708	7.1527	8.2956	9.5826	9.2031	7.9713	9.4824	5.6942	6.5277	5.9807	6.6362	6.4941	7.6144	6.1386	7.4487	7.1129	6.8714	7.42	6.2827	6.0927	7.3557	6.2782	6.3432	8.602	7.2206	5.2201	7.4361
"LOC102724508"	5.8092	5.1889	5.3886	5.7361	6.109	5.2919	5.7941	5.775	5.7975	4.0339	4.8994	6.8845	5.6696	3.9463	6.3428	5.6983	3.6516	7.0825	4.9652	6.71	6.8605	5.6521	4.3944	4.6148	4.1529	4.7466	5.5618	4.9724	6.5831	5.0053
"LOC102724511"	7.3408	6.9561	5.0321	7.4117	4.4516	7.1667	6.7133	4.8843	4.7241	5.2609	4.1438	5.8137	5.0581	6.0153	6.6133	5.3235	6.0502	6.9212	7.0338	3.1556	4.5754	3.6852	5.4088	4.8168	3.3021	6.6176	7.0768	7.4477	4.6301	5.6832
"LOC102724537"	3.5925	5.9741	1.8201	4.7161	4.9253	5.4097	3.6957	4.4515	5.4668	2.185	4.2478	1.3517	5.4511	2.0649	5.9599	4.7582	6.5062	5.6989	6.3983	6.2752	6.8762	5.5788	5.3754	6.3497	4.4536	6.8421	4.8714	5.8291	4.9895	6.632
"LOC102724587"	5.2215	2.0339	6.8733	6.7478	6.7764	6.0165	7.4428	6	9.2053	7.3639	3.7267	5.8847	5.6054	5.7887	6.12	5.8792	1.4228	3.7885	6.1372	7.5743	6.5318	5.6117	4.5162	4.7521	3.322	3.8194	7.3392	6.546	7.5144	5.1012
"LOC102724612"	6.9844	3.4344	6.2367	7.1629	6.3673	5.1489	5.8745	6.1385	2.1075	1.9328	3.4445	3.1514	6.552	1.9924	3.3535	3.4402	5.4407	6.4304	3.8624	3.9963	3.2244	3.4098	5.6463	2.1321	4.4681	3.668	6.9576	7.1543	4.3549	5.2496
"LOC102724782"	9.1477	9.1237	8.5321	7.7869	6.7125	7.2165	8.3957	8.8194	7.8852	7.7781	8.0383	7.5424	7.5512	6.8768	7.8692	7.4729	5.9263	7.3335	7.7774	8.8663	8.1724	7.4426	8.0331	7.1874	7.5663	6.3491	8.5495	9.2424	7.5182	9.0436
"LOC102724809"	5.3598	5.5724	4.9255	4.2064	5.2487	4.8072	5.3726	4.2315	4.3912	4.5077	6.9367	5.6183	4.4477	4.5447	6.6142	5.0573	4.4059	6.1995	5.6741	4.3494	5.8949	3.7579	3.8764	4.5461	4.7397	5.8817	6.1968	6.0124	5.9462	6.9131
"LOC102724814"	5.8534	6.1877	6.5779	4.1284	6.791	5.7209	5.9982	5.921	5.5293	6.2752	7.7736	6.1616	7.7238	6.8392	8.1616	7.709	7.0071	7.8459	6.0896	7.906	7.2818	7.5388	7.4059	6.1608	7.0986	7.5061	6.62	7.4131	8.1881	7.1692
"LOC102724842"	4.8836	6.8647	4.8711	3.4734	2.0543	3.8995	6.4749	4.1534	1.7001	5.5573	5.4685	7.0048	4.0645	5.6148	4.1924	5.1516	3.1229	4.7417	5.7782	4.7938	6.3338	2.949	6.3566	3.9708	6.1287	3.8083	4.11	4.835	4.8606	8.0422
"LOC102724927"	6.8347	5.6049	5.6298	5.8212	4.8338	4.8004	1.0519	6.6313	2.4776	2.1294	2.9379	5.987	5.9038	5.001	2.5388	4.7803	4.1123	5.2028	6.4589	5.4817	3.3432	5.4922	3.8623	3.0674	4.8887	5.5472	5.806	2.3201	3.3669	6.8545
"LOC102724938"	4.395	3.0514	2.5076	5.0479	3.0618	5.0951	4.4144	3.1612	5.6566	6.0171	3.05	3.9696	3.0018	3.8221	3.649	3.9038	1.553	2.7103	4.9143	3.9952	4.9443	3.9863	2.9842	1.9172	2.1742	6.1654	3.9988	4.4895	7.1304	4.5882
"LOC102724975"	5.6935	5.7592	1.1049	2.4285	5.4858	2.685	6.4041	2.0076	5.1646	5.1028	5.1199	4.8981	1.8268	3.8631	6.0872	5.726	4.2901	0.9598	2.9847	6.5926	6.4633	4.7185	4.5266	0.887	5.7103	6.0722	3.9244	5.4905	6.122	5.7702
"LOC102725022"	6.5289	4.3713	4.5938	5.31	4.9753	5.5686	5.2617	5.2661	4.5615	7.9808	4.5775	4.9072	5.3779	5.5833	5.3635	5.4489	5.2885	5.7642	4.9721	5.3838	5.1353	4.8021	4.4794	5.9474	4.4631	5.3778	6.0674	6.3533	5.1293	5.6944
"LOC102725343"	7.8294	5.5532	6.6085	5.1299	5.6029	5.2215	5.4447	5.9441	3.1441	6.3876	4.7295	6.6067	5.0562	4.6145	4.4844	5.7507	3.5836	5.5706	6.6222	4.9237	7.0905	3.9986	2.0354	4.8493	6.2107	7.2384	5.1112	7.244	6.2219	7.2695
"LOC102725383"	6.3004	8.0217	7.3107	5.8758	6.2312	7.1108	6.9688	6.5958	6.4444	7.494	6.6474	7.6198	7.4392	7.5177	8.2491	6.4185	5.2585	7.7408	7.9359	8.0082	6.8042	7.1859	7.8228	7.2612	7.811	7.0316	7.8282	7.8934	7.7718	8.1228
"LOC102725454"	6.3236	4.9322	3.8136	5.2266	6.8546	4.9689	5.7207	4.1813	6.7831	4.8627	4.2042	4.941	4.6021	4.9281	4.9149	5.0104	4.418	5.33	5.0725	4.6821	5.724	5.0131	4.2458	4.8626	6.0128	5.9131	5.3255	5.9557	5.0911	5.0181
"LOC103344931"	7.9589	7.8816	7.7365	8.7646	8.4392	8.403	7.0791	8.5379	7.6998	8.4659	8.2875	8.1363	8.2357	8.5505	8.8222	8.6536	8.6824	8.8612	8.3424	7.722	8.4808	8.5723	8.7153	8.5479	7.9358	8.6422	8.0911	7.7957	8.2433	8.7717
"LOC145474"	8.166	7.6253	6.5609	6.2992	6.052	7.7406	7.8623	7.7224	7.9722	7.0746	7.259	7.6157	7.5932	7.3876	8.2345	6.9543	7.1339	8.1351	6.773	8.3933	8.1161	7.924	7.342	7.4725	7.2544	6.2285	7.4374	7.6364	8.6439	7.9754
"LOC145678"	7.0087	4.7972	5.4333	6.5047	3.0813	6.9845	7.2011	6.8876	3.518	5.3888	6.1528	5.389	2.9895	6.509	6.1578	6.1989	5.1318	5.6731	4.4161	6.455	6.4868	5.9117	4.5826	6.2269	5.9792	5.7578	7.1716	4.7799	4.9594	6.4067
"LOC145694"	6.6823	6.9689	6.8329	6.0063	6.5289	4.8251	8.1072	4.9839	6.5929	5.9861	6.1616	6.2106	6.7032	3.6212	5.5333	5.8665	6.5485	6.9488	5.971	6.8327	6.1823	5.5929	3.6706	6.0406	4.7047	6.3647	6.3199	6.3795	7.3432	6.4583
"LOC145783///ZNF280D"	7.6823	7.1688	6.7012	7.5406	6.5495	4.8081	7.0938	5.5243	6.5101	6.0862	6.3522	6.2445	6.3471	6.6591	6.5341	6.5083	6.7323	6.5123	6.8915	6.7911	7.2561	5.4022	6.9458	6.0016	6.3171	6.5583	7.1664	6.7924	7.639	6.5466
"LOC145837"	3.4539	4.7382	5.7172	5.158	2.6753	6.2143	4.1593	4.4979	4.0761	4.6433	6.1909	4.4066	3.535	3.4432	4.3357	4.5329	3.795	5.8314	5.8358	5.113	4.2096	3.5857	2.6535	4.9059	4.9322	5.8646	5.5958	5.0329	2.9423	5.2243
"LOC145845"	5.064	6.9343	4.605	7.8206	6.8398	5.7599	7.6572	8.2387	2.5834	7.1335	7.4655	5.0904	6.8895	4.6503	7.4503	5.7831	3.8513	5.3921	4.2822	4.6508	7.5741	3.5451	7.1732	6.4469	5.3959	7.0572	7.5374	7.3971	7.7307	8.063
"LOC146513"	7.196	3.8199	6.4957	3.2348	4.8653	3.6887	7.0488	6.9969	4.2078	3.6957	3.6956	3.5013	3.741	6.341	4.1965	6.6508	5.0257	3.9275	2.0994	5.1985	5.324	5.796	5.1812	3.993	6.0169	4.4738	3.1257	5.5824	3.0799	6.2015
"LOC146795"	7.5987	5.5939	4.0657	3.3409	4.5211	4.0897	3.3658	6.1612	3.1061	6.3474	3.315	3.7152	2.7356	2.6489	3.494	5.5871	3.277	4.8027	6.8542	3.9364	7.4144	1.96	4.8475	4.0108	5.1107	4.5145	5.0571	4.6803	4.872	5.3536
"LOC147004"	8.758	7.0961	7.044	7.2803	6.9615	6.89	7.9759	7.5015	1.9987	5.8281	7.5108	7.3499	6.9539	7.2088	7.4016	7.2196	6.5776	6.6707	7.2385	6.2437	7.7024	6.7229	6.4583	7.2398	7.212	7.9105	7.8951	8.3021	7.735	7.4787
"LOC148413"	6.5323	8.4629	8.7701	7.8113	6.536	8.1946	6.8179	7.505	7.2813	8.5834	9.4018	9.1723	9.3132	9.3393	6.9197	9.6641	8.9004	8.8995	8.4942	6.712	8.8603	9.0647	8.9548	9.001	9.1962	8.1747	9.6447	8.6267	9.2712	6.8863
"LOC148696"	8.1094	4.6782	6.7632	7.2816	6.1788	6.3305	5.9513	7.4498	3.7332	6.1573	6.1496	5.949	6.7133	6.9457	6.9647	6.5917	6.1499	7.4052	5.3715	6.8999	7.379	5.4829	6.6614	6.6475	6.7689	4.1467	7.4692	3.6178	6.904	7.8852
"LOC149351"	5.3787	2.5177	5.5599	5.4341	4.4352	2.049	3.4744	5.9919	4.329	5.7319	2.3027	6.0026	1.3418	6.4118	6.3591	0.9616	5.0092	6.014	4.6662	5.9434	3.0254	4.6899	3.0097	5.4355	1.7853	3.9456	6.9798	6.7798	3.2385	5.4605
"LOC150051"	4.5097	3.3456	4.2366	4.6581	6.8284	4.7518	3.7736	4.16	4.0016	6.5117	4.7774	6.7678	5.5749	6.3671	6.8162	6.499	3.2341	7.1172	4.5013	7.3831	3.6581	3.0556	3.8358	6.3835	4.5255	6.0665	7.0143	8.1388	7.774	5.8747
"LOC151121"	7.2706	6.9879	1.9992	2.934	5.2834	5.3992	2.9075	8.0803	4.0794	6.3298	2.3203	4.4253	6.2942	6.5805	4.8025	2.1027	2.757	6.7072	5.8381	6.5705	7.6233	1.3801	5.5631	5.1326	5.7718	2.5964	4.2967	6.7242	5.2136	7.9272
"LOC151174"	8.4566	7.7762	6.646	6.8781	6.0677	6.5609	8.8136	7.8094	7.2311	4.3908	7.5173	7.02	7.408	7.8143	7.926	6.3553	6.9089	7.7801	7.54	6.9257	7.5364	7.1284	7.0345	7.963	4.5842	7.3191	7.9487	7.9946	5.2974	7.6741
"LOC151484"	5.8808	3.7852	5.6959	6.6285	5.8824	6.4331	4.8147	5.492	7.2476	7.1515	6.5566	4.5549	6.7555	6.4434	6.074	5.5539	4.8594	6.3556	4.6921	5.8365	8.1739	6.4413	7.098	6.9607	5.8908	7.5592	6.6118	7.1867	6.5595	7.6286
"LOC152225"	7.8185	3.9728	3.6867	3.4673	3.6684	3.6387	6.3166	4.1202	4.6971	3.4993	7.0162	5.9088	3.8614	3.8791	4.3639	5.0441	2.8363	7.1054	7.1526	3.899	4.2338	5.2245	1.9263	3.9205	6.481	6.6045	7.6676	6.6407	6.584	7.3812
"LOC152274"	5.2104	5.7724	6.7684	5.523	5.2081	4.766	6.1542	4.8753	6.4785	5.7761	6.5163	5.9567	2.5161	5.4258	5.7491	4.9683	3.1419	5.8247	4.8027	5.3149	4.785	5.8241	4.3938	4.7879	5.4881	6.1725	6.3024	5.5328	5.6482	6.3383
"LOC152578"	3.6354	3.3788	3.9708	3.7273	3.7909	4.0699	4.7334	4.4131	4.1903	3.0341	3.1303	3.724	3.1217	2.733	3.8999	3.4766	3.3957	3.3154	5.5705	4.0532	4.7842	3.9218	4.0717	4.8016	3.9452	3.4149	6.4144	3.5894	4.5947	4.5481
"LOC153546"	7.5564	8.0023	8.926	8.6741	8.9316	9.3161	8.7921	9.1812	8.6604	8.7843	7.613	8.4801	7.0724	7.9506	6.314	7.7597	7.5849	8.5361	8.1674	8.8805	8.3206	7.9714	7.9411	7.7519	8.1875	8.5837	8.6137	7.057	7.8216	8.4443
"LOC157273"	7.4205	3.0841	6.7676	5.8099	3.3508	6.2761	5.8204	6.3942	2.7409	6.7221	2.1135	5.4031	6.5609	5.4173	6.8287	4.7405	6.0828	3.385	5.606	2.2664	6.2475	2.2835	6.0432	4.2937	6.7065	7.1693	7.4684	7.1517	6.4929	6.9494
