"ID" "GSM2500349"	"GSM2500350"	"GSM2500351"	"GSM2500352"	"GSM2500353"	"GSM2500354"	"GSM2500355"	"GSM2500356"	"GSM2500357"	"GSM2500358"	"GSM2500359"	"GSM2500360"	"GSM2500361"	"GSM2500362"	"GSM2500363"	"GSM2500364"	"GSM2500365"	"GSM2500366"	"GSM2500367"	"GSM2500368"	"GSM2500369"	"GSM2500370"	"GSM2500371"	"GSM2500372"	"GSM2500373"	"GSM2500374"	"GSM2500375"	"GSM2500376"	"GSM2500377"	"GSM2500378"	"GSM2500379"	"GSM2500380"	"GSM2500381"	"GSM2500382"	"GSM2500383"	"GSM2500384"	"GSM2500385"	"GSM2500386"	"GSM2500387"	"GSM2500388"	"GSM2500389"	"GSM2500390"	"GSM2500391"	"GSM2500392"	"GSM2500393"	"GSM2500394"	"GSM2500395"	"GSM2500396"	"GSM2500397"	"GSM2500398"	"GSM2500399"	"GSM2500400"	"GSM2500401"	"GSM2500402"	"GSM2500403"	"GSM2500404"	"GSM2500405"	"GSM2500406"	"GSM2500407"	"GSM2500408"	"GSM2500409"	"GSM2500410"	"GSM2500411"	"GSM2500412"	"GSM2500413"	"GSM2500414"	"GSM2500415"	"GSM2500416"	"GSM2500417"	"GSM2500418"	"GSM2500419"	"GSM2500420"	"GSM2500421"	"GSM2500422"	"GSM2500423"	"GSM2500424"	"GSM2500425"	"GSM2500426"	"GSM2500427"	"GSM2500428"	"GSM2500429"	"GSM2500430"	"GSM2500431"	"GSM2500432"	"GSM2500433"	"GSM2500434"	"GSM2500435"	"GSM2500436"	"GSM2500437"	"GSM2500438"	"GSM2500439"	"GSM2500440"	"GSM2500441"	"GSM2500442"	"GSM2500443"	"GSM2500444"	"GSM2500445"	"GSM2500446"	"GSM2500447"	"GSM2500448"	"GSM2500449"	"GSM2500450"	"GSM2500451"	"GSM2500452"	"GSM2500453"	"GSM2500454"	"GSM2500455"	"GSM2500456"	"GSM2500457"	"GSM2500458"	"GSM2500459"	"GSM2500460"	"GSM2500461"	"GSM2500462"	"GSM2500463"	"GSM2500464"	"GSM2500465"	"GSM2500466"	"GSM2500467"	"GSM2500468"	"GSM2500469"	"GSM2500470"	"GSM2500471"	"GSM2500472"
"LOC100505902///LOC285389"	2.9472	2.7389	3.2179	2.9874	3.2073	2.7893	3.3595	2.9136	2.5098	3.7312	2.9812	2.7243	2.9149	3.1004	2.5349	3.2389	2.7634	3.1201	3.0835	2.8661	2.9729	3.1159	2.8654	3.0112	2.8495	2.8743	3.2746	2.9407	2.8647	3.4577	3.2496	2.7475	3.0202	2.882	3.5229	3.081	2.91	2.8682	2.9487	2.9872	3.1911	2.9761	3.1048	2.8304	2.9457	2.8459	3.0299	2.7461	2.985	3.453	2.9863	2.9899	3.0082	2.8293	2.9151	2.9303	2.642	2.907	2.9872	3.0907	3.011	2.93	3.1455	3.0694	3.311	2.8988	3.2777	3.1623	3.2962	2.9665	2.6193	3.1207	2.8776	3.3364	3.3579	3.5688	3.2921	2.7323	3.2405	3.516	2.9611	3.033	3.1185	3.0606	2.736	2.8754	2.8287	3.0715	2.7862	3.1681	3.0252	3.2227	3.0091	2.856	2.8511	2.8641	2.8185	2.9828	3.5985	2.9903	3.127	2.8989	2.9636	2.907	2.595	2.9954	2.978	3.9423	2.8927	2.6912	2.8816	2.9728	2.9727	3.3205	2.6079	3.0069	3.1433	2.6139	2.5967	2.7472	2.7252	3.0907	2.7339	2.9851
"LOC100505912"	3.1275	3.2909	3.4091	3.2055	3.9368	2.7729	4.1391	3.6187	3.6646	3.3346	3.897	3.5168	2.9605	3.4596	3.4703	2.8535	3.5243	3.3808	3.8066	3.2464	3.6404	3.4862	3.318	3.5592	3.6651	4.164	3.5092	3.4822	4.1478	3.8021	3.3289	3.635	3.4417	3.5057	3.786	4.0383	3.8321	3.5623	3.5395	3.4131	4.1869	4.0036	3.7296	3.2085	3.3132	3.8278	4.0811	4.0793	3.3936	3.099	3.1986	3.6966	3.4818	3.2317	3.9642	3.7026	3.705	3.2573	3.8866	3.2317	3.9458	3.5334	3.5712	3.9961	3.7415	3.3703	3.5712	3.6376	3.3326	3.3017	3.5334	3.415	3.5039	3.178	3.7582	3.7794	3.9772	3.7378	3.2944	3.6324	4.1747	3.623	3.4606	3.8312	3.694	3.904	3.714	3.5362	3.2479	4.3978	3.5366	3.3452	3.3584	3.1833	3.3424	3.2253	3.7828	3.5908	3.3887	3.9593	4.0214	3.8338	3.307	3.3302	3.713	3.2444	3.4068	3.9532	3.2028	3.5729	3.435	3.5018	3.9099	3.8751	3.5639	3.3704	3.5954	3.2896	3.4754	3.6535	3.4849	3.7563	3.3302	3.4205
"LOC100505918"	4.3931	4.2803	4.4124	3.8184	4.2373	4.2861	4.5691	3.9947	3.5524	4.0591	3.8245	3.8947	3.7341	4.5512	3.6983	4.1054	4.0313	4.3616	4.126	4.0737	4.0645	3.9954	3.3287	4.0132	4.3698	4.711	3.9002	3.8899	4.3403	4.0758	4.3043	3.9915	3.8337	3.9007	4.2514	4.1863	4.161	4.2571	4.1074	4.0031	3.7749	4.338	3.7276	3.4146	4.2307	4.2246	4.2266	3.7718	4.8662	4.2709	3.8563	4.6505	3.8569	3.7622	4.3087	3.6577	4.1851	3.1126	4.1771	4.3549	3.9358	3.8112	3.5857	3.8689	3.3449	4.3246	4.0851	3.9358	4.1358	3.9386	3.6193	4.4721	4.2574	4.5096	4.4765	4.6078	4.1855	3.6696	4.5944	4.5492	3.5669	3.9024	3.6068	3.9024	3.3142	3.5625	3.8104	3.6608	3.6587	4.1694	3.7864	3.1368	3.6285	3.2582	4.8805	3.3865	3.663	3.8197	4.0087	3.8631	2.578	3.3315	3.8016	3.6447	4.126	3.464	3.6268	4.1681	4.4179	4.2455	3.2129	3.569	4.2476	4.1505	3.9796	3.9907	3.2321	2.9215	3.3598	3.658	3.7655	3.7444	3.3816	3.723
"LOC100505920"	2.8868	2.4894	2.5389	2.6919	3.3793	3.1838	3.1729	2.9735	2.423	3.2974	2.5781	2.7649	2.5795	2.2552	2.7248	3.079	2.3998	2.9083	2.5989	2.2639	1.6037	2.1938	1.9518	2.6822	2.898	2.8952	2.6526	2.6294	3.6357	3.0001	3.763	2.5557	3.0089	2.6181	2.396	2.7284	3.2605	2.5681	2.498	2.6112	2.6487	3.3439	2.582	2.3142	2.4298	2.4769	2.3186	2.3206	3.0024	2.9155	2.8256	3.015	2.8432	2.6528	2.5941	2.5681	3.0302	2.1534	3.4602	2.8293	2.8053	2.5594	2.691	3.0971	2.6519	3.5038	2.9277	3.1858	2.8557	2.7667	1.8438	2.611	2.7375	3.3102	2.5658	3.6006	2.6646	2.6782	3.5518	3.3369	2.4504	3.0052	2.6277	2.3298	2.5571	2.4585	2.7907	2.557	2.083	2.8554	2.3474	2.6562	2.4351	2.6362	2.5331	2.6075	2.3433	2.3548	3.0857	2.4975	2.1851	2.8499	2.6032	2.9591	2.6733	2.823	2.2245	3.453	2.7224	2.987	2.7484	3.117	2.7131	2.6951	2.7311	2.392	2.9379	1.9209	1.7782	2.3466	3.608	2.2718	2.6877	2.9645
"LOC100505938"	3.2893	3.6877	3.6691	3.7439	3.6129	3.5909	3.7035	3.8439	3.2231	3.57	3.4532	3.6877	3.6401	3.6877	3.4192	3.3497	3.6826	3.0679	3.3431	3.2231	4.0092	3.9734	3.7398	3.4663	4.0946	3.6382	4.3927	3.9608	3.7967	3.5552	3.4458	3.5189	3.9987	3.7502	3.4766	3.2788	3.79	3.722	3.9462	4.2358	4.7157	3.6724	3.898	3.4959	3.4941	3.8333	3.5531	3.9928	3.3201	3.0577	3.5555	3.8193	3.4641	4.049	3.7656	3.9739	4.2734	4.085	3.9152	3.7024	3.3842	4.069	3.7051	3.7884	3.6266	3.6798	3.6792	3.5938	3.6266	3.3955	4.1972	3.6991	3.6072	3.4921	3.6751	3.3458	3.4841	4.0162	3.0755	3.0645	4.2632	3.2254	3.8583	3.7366	4.289	4.1976	4.3318	3.8973	4.0914	4.1663	3.7192	3.8641	4.4535	4.7762	3.1983	4.1938	4.2681	3.4375	3.488	3.5407	4.0078	4.2016	3.5663	3.808	3.766	3.8484	3.5012	3.5246	3.4472	3.6825	4.2759	4.0684	3.6553	3.7571	4.7641	4.2769	4.3964	4.7435	4.3476	4.2442	3.956	3.9919	5.2574	4.0694
"LOC100505942"	4.0318	4.5008	4.5743	4.6428	4.7679	4.3861	4.5641	4.5991	4.551	4.3679	4.5931	4.6226	4.6343	4.7791	4.5964	4.4826	4.3088	4.5917	4.7675	4.5614	4.8382	4.7333	4.5812	4.5418	4.3773	4.7607	4.668	4.2559	4.5459	4.2542	4.4744	4.789	4.836	4.7361	4.6054	4.9289	4.5699	4.5829	4.6975	4.7784	4.7526	4.3999	4.61	4.5125	4.1975	4.4713	4.3961	4.6255	4.7134	4.428	4.5759	4.5823	4.6411	4.4927	4.7568	4.4256	4.5613	4.5876	4.726	4.5734	4.9937	4.4627	4.6165	4.5548	4.5661	4.8319	4.4836	4.5658	4.6875	4.5698	4.3864	4.5276	4.1047	4.6034	4.3291	4.8918	4.2948	4.715	4.6569	4.7633	5.0643	4.5924	4.4255	4.5228	4.3308	4.6766	4.6674	4.7814	4.6657	4.3965	4.2139	4.5494	4.5647	4.3407	4.7217	4.6005	4.3978	4.6787	4.58	4.7911	4.5185	4.3935	4.6799	4.605	3.9231	4.5651	4.4162	4.3466	4.5183	4.5491	4.36	3.9035	4.6699	4.6336	4.4139	4.6787	4.4985	4.4137	4.5503	4.5061	4.2139	4.7378	4.2718	4.3436
"LOC100505978"	4.6357	4.8864	4.7463	4.3726	4.5852	4.6939	5.2072	4.9869	4.614	5.1902	4.6907	4.2482	4.5431	4.4305	4.4709	4.3352	4.5446	4.7166	4.834	4.6797	4.7819	4.8344	4.6126	4.5159	4.5476	5.1174	4.7917	4.4519	4.9615	4.7188	4.5039	4.7552	4.5541	4.8673	4.5039	4.8302	4.5774	4.5006	4.8225	4.7961	4.9136	4.8983	4.8376	4.0947	4.502	4.743	4.7132	4.6184	4.5947	4.474	4.6829	4.9379	4.4996	4.4545	4.2643	4.55	4.6061	4.6568	4.5657	4.7553	4.6479	4.7915	4.5625	4.6275	4.7313	4.6894	3.8747	4.6351	4.8195	4.1897	4.5785	4.6351	4.5512	4.4766	5.0062	5.252	4.7992	5.2144	4.6439	4.5685	4.4938	4.5338	4.0989	4.7889	4.6273	4.5163	4.4913	4.8017	4.3811	4.2364	4.6644	4.5812	4.3832	4.7079	4.4831	4.6692	4.192	4.6191	5.0354	4.5748	4.9345	4.529	4.7321	4.5629	4.2755	4.6264	4.4209	5.069	4.6459	4.5947	4.6786	4.8338	4.7355	4.5115	4.7742	4.8833	4.5407	4.4299	5.002	4.7357	4.5985	4.7619	4.7623	4.6972
"LOC100505985"	3.2392	3.0073	3.2928	3.0133	3.1068	3.6581	3.6333	3.6051	3.2226	2.8506	2.8033	2.9558	2.8435	2.9558	2.4975	3.3893	3.1068	3.6747	3.2957	2.712	2.8943	3.0205	3.1981	2.7942	3.3642	2.7027	3.349	2.9181	3.0235	3.1123	3.497	2.943	3.3998	3.1173	3.1799	3.223	3.1688	2.4333	3.3418	3.1977	2.3995	3.0933	3.6692	2.9295	2.3767	2.9603	2.9476	3.4306	3.2658	4.1514	3.3241	3.5556	3.1326	2.7751	3.0418	2.932	2.9476	3.1006	3.5036	3.3265	3.3153	3.1648	3.3787	3.2681	3.6158	2.9476	3.4435	3.1487	2.9476	2.9476	2.3215	3.399	3.2227	3.4901	3.1054	3.9479	3.2351	2.9463	3.5564	3.6357	3.2622	3.032	3.1054	3.0921	2.5629	3.2963	2.8645	3.1452	2.9762	2.7502	3.0922	3.109	3.3395	3.0114	3.433	3.2399	2.9767	3.0841	3.1902	3.6547	3.2184	2.9607	3.1948	2.7982	3.0309	3.0534	3.1082	3.6858	3.2863	3.5664	2.9483	2.9483	3.2576	3.1235	3.1055	3.1055	3.193	3.0073	3.0349	2.6899	3.5429	2.6514	2.9409	3.1919
"LOC100506014"	4.7659	4.8335	4.7326	4.444	4.5952	4.5961	4.8698	4.5128	4.6311	4.6592	4.6852	4.6797	4.761	4.4618	4.1392	4.1204	4.5663	4.6758	4.5733	4.2926	4.5736	4.6201	4.3052	4.4432	4.6177	4.4045	4.2437	4.7056	4.8951	4.4751	4.324	4.2403	4.7413	4.5499	4.3388	4.4615	5.0416	4.7904	4.1876	4.2411	4.7813	4.8876	4.1598	4.9013	4.7751	4.7702	4.1663	4.7077	4.4819	4.6183	4.5504	4.5504	4.8442	4.8777	4.4237	4.3434	4.6857	4.8557	4.3491	4.4692	4.5174	4.307	4.2191	4.3704	4.7748	4.7356	4.6232	4.9003	4.5763	4.882	4.201	4.5174	4.5254	4.3562	4.5198	4.5702	4.5914	4.5275	4.5702	4.6161	4.8601	4.6551	4.5702	4.4399	4.5206	4.7823	5.0012	4.8945	4.4565	4.2178	4.5717	4.3272	4.7513	4.92	4.7353	4.9035	4.5474	4.3794	4.175	4.326	4.555	4.9757	4.259	4.7732	4.6493	4.2033	4.7534	4.2639	4.3928	4.416	4.1606	4.2903	4.2005	4.5924	5.0038	4.8617	4.9794	4.2344	4.6945	4.6906	4.5792	4.8853	4.3681	4.4461
"LOC100506022"	3.8573	3.6652	4.1986	3.8016	3.998	3.9804	3.773	3.8454	4.0387	3.8363	3.7459	3.98	4.2939	4.0988	3.7936	4.204	3.4242	3.8889	4.0627	3.686	3.8535	4.3093	3.643	4.13	3.8661	3.8849	3.8786	3.8236	3.5411	4.1875	4.0119	3.4848	4.2779	4.0352	4.0833	3.9447	4.1883	3.8479	3.5548	3.5795	3.955	3.8787	4.0202	3.5993	3.992	4.2483	3.6645	3.5761	4.2938	4.2397	3.759	3.7815	3.784	3.9352	3.7596	3.8237	3.873	3.8712	4.0041	4.385	3.81	3.8678	3.4364	4.2561	3.8735	4.0434	4.1988	3.8207	4.1901	4.144	3.7526	3.8212	4.2458	4.3478	4.017	4.2662	3.6561	3.8022	3.6848	4.0744	3.8998	4.152	3.8549	3.8747	3.6707	3.8615	4.1097	4.0108	4.1587	3.9325	3.5448	3.7842	3.7514	4.1878	3.3752	4.0123	3.7877	3.8501	4.0425	4.2062	3.9418	3.8496	4.1084	3.7285	3.7619	3.783	4.0515	3.9363	3.9177	3.9346	3.73	3.9768	3.8595	4.0058	4.0517	3.782	3.7053	3.7453	3.7908	4.0127	3.8654	3.7663	4.1732	3.8785
"LOC100506047"	5.1426	5.0019	4.926	5.1816	4.6981	4.6563	5.2048	4.7564	4.9094	4.8193	4.3765	4.422	4.9152	4.6948	4.9736	4.912	4.6764	4.9975	4.7756	4.6916	4.8156	4.3289	4.1339	4.6631	4.7822	4.5991	3.7822	4.5693	4.6829	4.5084	3.9054	4.7843	4.7216	5.1283	4.4274	5.0012	5.3126	4.9993	4.299	5.0771	5.2196	5.0892	4.6125	4.536	4.1579	4.7254	4.1263	4.4422	4.6057	5.1275	4.7066	5.0047	4.599	4.663	4.1423	4.54	4.2286	4.7311	4.7779	4.8751	4.5704	4.3612	4.3737	4.882	4.7759	5.1259	4.4988	4.4733	4.5377	5.4771	4.5392	4.8302	4.7676	5.0822	4.5296	5.1549	4.5141	4.5181	4.9128	4.9248	4.602	4.6764	3.9895	5.0681	4.5013	4.6572	4.6313	4.782	4.6007	4.7323	5.086	4.8269	4.6904	4.9308	4.795	4.5985	4.7168	4.4881	4.7955	4.5742	4.8612	4.2898	4.4742	4.3917	3.9558	4.3092	4.4766	4.7638	4.5254	4.5808	4.5742	4.5504	4.0831	4.6247	4.123	4.8446	4.4782	4.609	3.9204	4.547	4.3025	4.6534	4.8649	4.6702
"LOC100506071"	3.4179	3.3442	3.6838	2.6153	3.6147	3.4711	3.2444	3.5184	3.5827	3.3304	3.4044	3.0403	3.1027	3.5671	2.639	3.9199	3.438	3.6288	3.4832	2.8098	2.9293	3.3467	2.7693	2.8378	3.9615	3.6526	3.3644	3.3353	3.9171	2.5434	3.8393	3.3663	3.4144	3.4836	3.4998	3.0698	3.5737	2.7994	3.1426	3.4928	3.3116	3.3241	2.8937	3.329	2.9372	3.2344	3.2358	3.3592	3.084	3.4906	2.2621	3.6455	3.7033	2.979	3.1714	3.3629	3.3269	3.4738	3.2684	3.518	3.4551	3.6536	2.8217	3.565	3.3325	3.0213	3.1776	3.2347	3.6005	3.0629	3.1681	3.3116	3.3635	4.0111	3.663	3.7074	3.4547	2.8417	3.5438	3.536	3.4011	3.2801	3.0507	4.1215	3.148	2.9558	3.2396	3.1515	3.3981	3.2803	3.0213	3.0248	3.1197	3.2663	3.3717	2.7547	3.6207	3.4463	2.8355	3.7483	3.8234	2.6677	3.642	3.6451	3.8343	2.671	3.1317	3.5157	3.6402	3.771	2.6575	3.2922	3.3538	3.2494	3.2757	3.8319	2.6816	3.2621	3.1964	3.3919	3.2829	2.6411	3.3045	3.5437
"LOC100506076///LOC100506123"	7.5387	7.8648	8.187	7.8217	7.6633	8.8353	7.7704	7.9067	7.5622	7.9643	7.6136	8.192	7.4674	7.3784	8.0204	6.5925	7.9414	7.3817	7.6596	7.8514	7.2617	8.0584	6.7712	5.758	5.7031	5.5007	5.9405	5.2912	7.4474	6.6202	5.0161	6.3952	5.2632	6.6794	5.825	6.2311	5.9761	6.9234	5.0239	5.3299	6.594	7.0515	5.247	7.9645	5.7597	6.1265	5.875	6.3637	6.5155	5.6916	4.9728	6.3336	6.4452	6.4843	6.5463	5.5882	5.2802	5.8616	6.3442	5.8349	5.554	5.1776	6.3836	6.3821	5.6797	6.3606	6.7615	7.5965	6.3238	7.6443	6.2877	5.6436	6.1574	6.3021	6.2299	6.5626	6.1939	6.1296	6.3605	6.3952	4.9837	5.7682	5.1324	5.2074	6.737	5.7566	6.3432	7.2015	5.2896	6.4569	6.1112	7.1736	6.7537	7.0332	6.9388	5.1779	6.881	6.4796	4.7607	5.1228	6.6346	5.7488	5.7716	6.2037	6.415	5.8141	6.0314	6.1024	5.8742	5.6147	6.4506	7.0452	5.8704	5.9037	5.6183	5.5608	6.0409	6.5165	5.337	5.5171	6.2627	6.5168	5.7296	6.2475
"LOC100506082"	1.8078	2.7285	2.6164	2.2195	2.5262	2.4398	3.1231	2.525	2.8899	2.3286	2.6185	2.7646	2.7628	2.5447	2.8435	2.4542	2.9219	2.5043	2.5434	3.2054	2.6167	2.8674	1.5566	2.2952	3.0305	2.7462	2.4015	2.117	2.5155	2.5125	2.298	2.1356	2.5023	3.0608	2.9023	2.4431	2.0413	2.4059	2.7125	2.9674	3.2506	2.3245	3.2913	2.5557	2.1356	2.2974	3.0791	3.4963	2.439	2.5668	3.4361	3.0066	2.8208	2.671	2.3936	2.1225	1.8736	2.5957	3.0245	2.439	2.5129	2.3776	3.1562	2.9042	2.5776	2.4394	2.705	2.5129	2.6004	1.844	2.7511	2.2247	2.5524	2.9036	1.9145	2.6132	2.2632	1.9038	2.5942	2.4503	2.6823	2.7424	2.5449	2.2218	2.0632	2.5964	2.6172	2.5851	2.4409	2.4583	1.7304	2.6627	3.1721	2.883	2.6681	2.4399	2.7024	2.5814	1.422	2.7764	2.6231	2.8358	2.5567	1.9798	2.3533	0.9303	2.7824	1.9798	2.565	2.4204	2.6004	2.841	2.9724	3.0529	2.5596	2.5478	2.5247	2.6782	2.6065	3.1077	2.4928	2.5348	2.5485	2.0014
"LOC100506083"	5.2367	5.177	5.5601	5.2645	4.9816	5.4997	5.3656	4.8676	4.925	5.5383	5.2294	5.383	5.3879	5.3509	5.5811	4.8795	5.2157	5.3655	5.4468	5.6542	5.2504	5.7539	5.1848	4.8245	4.9787	4.1923	4.9171	5.1305	4.5519	4.8512	4.2555	5.0265	5.1324	4.4887	4.8715	4.8468	4.8978	5.1008	5.0742	5.0078	5.1615	4.5044	4.571	5.2051	4.9596	4.8187	4.7843	5.1252	4.5733	5.0227	5.0055	4.4889	4.6735	5.2213	5.0801	4.7559	4.9467	4.7187	4.8493	4.2248	4.7476	5.0512	4.293	5.0309	4.3909	4.6188	4.9722	4.8772	4.8001	5.219	5.0049	4.6247	4.9345	4.6236	4.3767	4.8768	4.8851	4.9704	5.1868	5.082	4.7247	4.6287	4.8043	4.7171	5.4988	4.645	4.8003	4.8863	4.8364	5.0711	5.2537	5.0072	4.7782	4.9986	4.6398	4.6418	4.7865	4.936	5.0175	4.6353	4.6921	4.9499	4.4905	5.048	4.7835	4.8688	4.1699	4.7591	5.0902	4.9107	4.7365	4.7941	4.4857	4.9758	4.6635	5.3264	4.5596	4.6738	4.9211	4.49	5.0805	5.2462	5.0298	4.5502
"LOC100506098"	3.5659	3.9985	3.647	3.6405	4.1532	3.7732	4.5595	3.2386	2.9611	3.7737	3.4358	3.2754	3.1321	3.8843	3.3592	3.797	3.5635	4.2745	3.0574	3.447	2.7452	2.9995	3.6992	2.9586	3.9558	3.8437	3.2738	3.5479	4.0468	4.0696	4.2302	3.6107	3.9955	3.3077	3.7452	3.7224	3.5309	3.3459	3.6916	3.9818	4.3978	3.9521	3.4156	3.5309	4.5057	3.5272	3.3583	3.7791	4.2269	4.7265	3.4642	3.9101	4.1721	2.5825	4.0604	3.964	3.3243	3.4695	4.4353	3.96	3.5799	3.0754	3.4987	4.067	3.5616	3.409	3.8559	4.0567	3.7921	4.1611	3.2127	4.0388	4.0555	4.4514	3.9907	4.6796	3.5647	3.3055	4.8037	4.5011	2.9201	3.8456	2.9391	3.5988	3.2552	2.8914	3.7312	3.7704	4.2799	3.3571	3.4352	2.9703	3.4414	2.8036	4.2202	2.8882	2.7997	2.817	3.8141	2.0348	3.1717	3.7203	2.2093	3.5015	3.8139	3.4004	3.683	4.1419	3.3491	3.7389	4.2254	3.8691	3.7232	3.1567	2.7908	3.8137	3.1997	4.1558	3.3609	2.5796	3.7106	2.9386	4.0793	4.2547
"LOC100506100"	4.8557	4.9903	4.7936	4.7993	4.2631	4.9106	4.3664	4.8526	4.9631	4.692	4.9121	5.0218	5.2047	5.4097	4.6071	4.7798	5.1232	4.6645	4.765	5.2769	4.8448	4.5218	5.1834	5.5895	5.4804	6.2086	5.5698	5.4649	4.4281	5.702	5.0364	5.3744	5.0127	5.1741	5.058	4.8347	5.4326	5.5116	5.3356	5.4095	5.5627	5.0264	5.5062	5.8055	4.5601	5.442	5.2492	5.3701	5.2357	5.4292	5.356	5.5408	5.2471	5.0997	5.3298	5.9507	5.1096	4.8668	4.2743	5.3596	4.493	5.3844	5.5607	5.6829	4.784	5.6717	5.4608	5.5851	5.1835	5.4593	6.2641	5.7249	5.2675	5.1071	5.3764	4.8478	5.4005	5.3932	5.3809	5.0713	4.8821	5.1666	5.5955	6.2407	5.8988	6.5824	5.3131	5.2293	5.7439	6.3115	5.8099	6.0625	6.349	6.0442	5.4432	5.9079	6.7542	6.3221	5.6475	5.0927	5.508	6.3799	5.6091	5.6918	5.5725	6.4878	4.751	5.3509	5.7179	4.9664	6.5042	6.321	5.1796	5.0864	6.3786	6.0619	5.5306	7.1211	5.333	6.6686	5.6507	5.1988	6.1887	6.1735
"LOC100506107"	3.9236	3.8724	3.1123	2.7158	3.832	3.217	3.3518	3.4317	3.1066	3.0722	3.1172	3.0621	3.2301	3.6163	3.0971	3.3266	3.1257	3.5467	3.1871	2.8128	2.9496	2.9964	2.93	3.1227	3.3436	3.5457	2.8441	2.879	3.7929	3.6642	3.7467	3.2729	3.3227	2.9704	3.0946	3.6415	3.3135	2.6746	3.7512	3.6286	3.1911	3.3058	3.3027	3.1303	3.3701	3.0335	3.1277	2.8977	3.2923	3.4814	3.1572	3.223	2.9058	2.7374	3.0772	3.0302	3.0616	2.6004	3.4528	3.466	3.4294	3.0004	2.8522	3.3855	3.5213	3.4253	3.2134	3.054	2.9083	2.8977	3.1623	3.7324	3.6223	3.6391	3.5192	3.3772	3.2243	3.4833	3.1534	3.7996	3.2624	3.2165	3.0243	3.6196	2.8696	3.1123	3.3525	2.9272	2.8512	3.1014	3.0148	2.4006	2.4008	2.9953	3.684	2.653	3.5094	3.2921	3.4136	2.6214	2.5035	3.1274	3.5932	2.6339	3.0518	3.1607	3.0321	3.7308	3.2749	3.0945	3.5727	2.9735	3.3024	3.3613	3.2453	3.1515	3.1224	3.0221	2.6865	2.8716	3.5168	2.9092	3.0321	3.2503
"LOC100506113"	4.7692	4.6714	4.2429	4.5869	5.0656	4.4211	4.525	4.9638	4.8826	4.7521	4.5137	4.3362	4.2919	4.7208	4.1951	5.0573	4.7716	4.7426	4.9067	4.7084	4.7955	4.5933	4.7936	5.5219	4.8919	5.4511	5.294	4.8792	5.4803	4.7888	5.2832	5.6399	5.5371	5.8803	5.7728	5.5958	5.1991	4.6233	5.7181	5.6256	5.6182	5.545	5.1933	5.4837	5.611	5.5235	4.9379	4.9688	5.408	5.5136	5.5931	5.2616	5.2312	5.57	4.8293	5.269	5.1766	5.7702	5.4286	5.3712	5.0916	5.814	5.3111	5.1484	5.6815	5.2891	4.8418	5.0577	5.2218	4.645	4.5792	5.6094	5.2073	5.2936	5.2657	4.5767	5.3941	5.4179	5.6117	4.8575	5.5407	5.047	5.5666	5.5206	4.8426	5.1318	5.4251	5.386	5.1791	4.8746	5.7697	5.0673	5.032	5.3205	4.2898	5.2484	5.042	5.2487	5.5119	5.4146	3.6785	4.8657	5.6432	5.4608	5.2651	4.925	5.6186	5.6305	5.3403	5.2964	5.6425	5.6429	5.631	5.6527	5.0861	4.8995	4.3937	4.7778	4.4033	5.167	5.4535	5.6418	4.9117	4.937
"LOC100506114"	4.6247	4.3153	4.4919	3.8339	3.9504	4.5231	4.8673	4.6303	4.2205	4.3269	4.1493	3.9185	4.0243	4.4951	4.2932	4.2594	4.4346	5.0666	4.5044	4.4136	4.1294	5.0215	3.8798	3.8798	4.4696	4.1779	4.1571	4.4273	3.6403	4.8556	4.3183	4.1593	3.6513	4.1334	4.1759	4.3748	4.328	4.2364	4.2278	4.7594	4.2202	4.1782	3.8632	4.4285	4.2012	4.5286	4.605	4.4189	3.9664	4.7981	4.2459	3.9021	4.0166	4.1666	4.113	4.2967	4.0744	4.1336	4.1624	4.1538	4.0581	4.5582	3.7213	4.0634	3.9987	4.153	4.1782	4.3563	3.8462	4.3595	3.9156	4.0498	4.3662	4.4094	4.4921	4.2478	4.1511	4.1157	4.641	4.3801	4.0701	3.9483	4.1047	3.9522	4.2031	4.1721	4.1889	4.4593	4.1855	4.0235	4.0196	4.1412	3.8877	3.6049	4.3265	4.143	3.9407	4.2333	4.5484	4.3768	3.7518	3.7615	3.9625	4.153	4.3573	4.3724	4.0327	4.0965	4.2292	4.7464	4.0309	4.1071	4.4739	4.379	4.2592	4.0017	3.7455	3.8408	3.5897	4.023	4.1273	3.9319	4.4722	3.8639
