"ID" "GSM712478"	"GSM712479"	"GSM712480"	"GSM712481"	"GSM712482"	"GSM712483"	"GSM712484"	"GSM712485"	"GSM712486"	"GSM712487"	"GSM712488"	"GSM712489"	"GSM712490"	"GSM712491"	"GSM712492"	"GSM712493"	"GSM712494"	"GSM712495"	"GSM712496"	"GSM712497"	"GSM712498"	"GSM712499"	"GSM712500"	"GSM712501"	"GSM712502"	"GSM712503"	"GSM712504"	"GSM712505"	"GSM712506"	"GSM712507"
"AC009133.15"	7.0982	6.9378	6.2954	6.4194	6.2171	6.2662	6.701	6.7955	5.7975	6.4608	6.2381	6.346	6.2552	6.0282	6.2454	6.4701	6.0446	6.8322	6.6991	6.2902	6.7407	6.2198	6.0414	6.2877	6.1493	6.677	7.0822	6.8808	6.6192	6.1407
"AC009502.4"	5.2161	5.3537	5.7595	5.8853	5.3175	5.8793	5.6404	5.4079	5.3178	5.5423	5.4251	5.2402	5.6232	5.5353	5.522	4.9917	5.1915	5.2307	5.4438	5.8698	5.5336	5.3765	5.2606	5.3152	5.354	5.5504	5.3159	5.3666	5.4111	5.3098
"AC010095.5///RP13-1039J1.3"	3.0406	3.2831	2.971	3.1141	2.8782	2.9839	2.9168	3.0088	3.2641	2.8529	3.0969	2.9155	3.0727	2.8524	3.0172	3.1496	2.9532	3.0632	2.9789	3.043	2.9855	2.9034	2.9364	3.0227	2.7433	3.1924	3.153	3.1285	2.9871	2.9787
"AC010145.3///MYCNUN"	5.1578	4.796	4.9275	5.1201	4.7885	4.8095	5.0282	5.0898	4.7717	4.9316	4.8793	4.7527	4.9226	4.8964	4.8794	4.5718	4.8271	4.5168	4.8445	5.0396	5.2319	4.884	4.9851	4.7682	4.8627	4.8964	5.1914	5.0145	5.1239	5.0476
"AC010145.4"	3.8579	3.4341	3.6132	3.9352	3.6332	3.6328	4.1443	3.3356	2.9554	3.6421	3.5555	3.3887	3.4356	3.5396	3.643	3.491	3.2514	3.8131	3.4501	3.3087	3.5821	3.2341	3.4885	3.174	3.4588	3.4301	3.4004	3.7545	3.1272	4.3199
"AC010524.4"	4.8845	4.4414	4.8506	4.9621	4.3109	4.7059	4.9185	4.7064	4.7141	4.6509	5.0443	4.9827	4.3996	4.4244	4.8394	4.6191	4.4615	4.5343	4.1838	4.9555	5.0485	4.6035	4.268	4.8605	4.4703	4.7473	4.8247	5.1872	4.4995	4.4538
"AC011997.1///BC021693"	2.5517	2.7389	2.586	2.8249	2.7009	3.0284	2.624	3.013	3.0796	2.7922	2.8062	3.0318	2.6499	2.7674	2.9194	2.9602	2.5282	2.8274	2.6695	2.8454	2.8532	2.6991	2.5954	2.7951	2.8728	2.9982	3.059	2.9355	2.8249	2.8774
"AC012360.6"	4.7133	4.9351	4.6172	4.881	4.5213	4.8792	4.8658	4.3983	4.1112	4.6599	4.1913	4.3694	4.6131	4.5461	4.595	4.6514	4.2623	4.6562	4.5553	5.0018	4.6096	4.4263	4.5644	4.8356	4.4955	4.8263	4.7172	4.6665	4.4091	4.2632
"AC012499.1"	3.1591	3.0234	3.2774	3.331	3.5309	3.3714	3.2349	3.1832	3.237	3.2374	3.2865	2.893	3.218	2.8484	3.3759	2.9369	3.003	3.0632	2.9446	3.1906	3.3247	2.6861	2.918	3.1475	3.3673	3.372	3.1987	3.3737	3.1839	3.1245
"AC012531.25"	4.1439	3.7389	3.5542	3.7179	3.317	3.848	4.2961	3.8427	3.6595	3.7304	3.7119	3.7205	3.7179	3.7652	3.5633	3.6381	3.3583	3.706	3.7423	3.6973	3.8216	3.0928	3.3218	3.8379	3.8219	3.873	3.8125	4.0282	3.8195	3.8508
"AC013463.2"	4.5561	4.499	4.21	4.1343	4.4016	4.146	4.5355	4.2205	4.3417	4.2561	4.1897	3.9601	4.0838	3.9626	4.2372	4.0879	3.9605	4.2704	4.2205	4.1256	4.6853	4.2205	3.8044	3.8863	3.8316	4.2496	4.3512	4.6628	4.3702	4.2674
