"ID" "GSM1373914"	"GSM1373915"	"GSM1373916"	"GSM1373917"	"GSM1373918"	"GSM1373919"	"GSM1373920"	"GSM1373921"	"GSM1373922"	"GSM1373923"	"GSM1373924"	"GSM1373925"	"GSM1373926"	"GSM1373927"	"GSM1373928"	"GSM1373929"	"GSM1373930"	"GSM1373931"	"GSM1373932"	"GSM1373933"	"GSM1373934"	"GSM1373935"	"GSM1373936"	"GSM1373937"	"GSM1373938"	"GSM1373939"	"GSM1373940"	"GSM1373941"	"GSM1373942"	"GSM1373943"	"GSM1373944"	"GSM1373945"	"GSM1373946"	"GSM1373947"	"GSM1373948"	"GSM1373949"	"GSM1373950"	"GSM1373951"	"GSM1373952"	"GSM1373953"	"GSM1373954"	"GSM1373955"	"GSM1373956"	"GSM1373957"	"GSM1373958"	"GSM1373959"	"GSM1373960"	"GSM1373961"	"GSM1373962"	"GSM1373963"	"GSM1373964"	"GSM1373965"	"GSM1373966"	"GSM1373967"	"GSM1373968"	"GSM1373969"	"GSM1373970"	"GSM1373971"	"GSM1373972"	"GSM1373973"	"GSM1373974"	"GSM1373975"	"GSM1373976"	"GSM1373977"	"GSM1373978"	"GSM1373979"	"GSM1373980"	"GSM1373981"	"GSM1373982"	"GSM1373983"	"GSM1373984"	"GSM1373985"	"GSM1373986"	"GSM1373987"	"GSM1373988"	"GSM1373989"	"GSM1373990"	"GSM1373991"	"GSM1373992"	"GSM1373993"	"GSM1373994"	"GSM1373995"	"GSM1373996"	"GSM1373997"	"GSM1373998"	"GSM1373999"	"GSM1374000"	"GSM1374001"	"GSM1374002"	"GSM1374003"	"GSM1374004"	"GSM1374005"	"GSM1374006"	"GSM1374007"	"GSM1374008"	"GSM1374009"	"GSM1374010"	"GSM1374011"	"GSM1374012"	"GSM1374013"	"GSM1374014"	"GSM1374015"	"GSM1374016"	"GSM1374017"	"GSM1374018"	"GSM1374019"	"GSM1374020"
"LOC101927901"	2.8158	2.5565	2.3932	2.5958	2.6904	2.6918	2.697	2.7584	2.5674	2.5432	2.5112	2.2763	2.6801	2.4495	2.6832	2.5674	2.2474	2.3322	2.4611	2.8694	2.6819	2.7171	2.6288	2.3729	2.7916	2.4824	2.6605	2.4565	2.2163	2.4348	2.2316	2.5241	2.5427	2.3108	2.4917	2.5587	2.4684	2.7489	2.5011	2.4537	2.3865	2.1593	2.466	2.3257	2.5343	2.9401	2.7436	2.6681	2.2837	2.7986	2.4275	2.6054	2.7864	2.3896	2.4287	2.3833	2.8617	2.5937	2.9212	2.7495	2.5189	2.6633	2.5443	2.4305	2.6661	2.4995	2.4834	2.8423	2.7255	2.633	3.0213	2.8002	2.6334	2.5768	2.805	2.4563	2.4227	2.7323	2.5862	2.6547	2.2554	2.3528	2.5625	2.5217	2.2226	2.4887	2.3452	2.402	2.3476	2.5233	2.417	2.6929	2.4905	2.8882	2.3251	2.5305	2.2849	2.3593	2.1986	2.3609	2.5811	2.3767	2.333	2.4121	2.5326	2.2834	2.5518
"LOC101927907"	2.9561	2.3945	3.0598	2.3518	2.4886	2.4305	2.2154	2.4635	2.5831	2.4868	2.9064	2.5687	2.7317	2.9847	2.4261	2.7413	2.6947	2.5728	2.6231	2.4129	2.6614	2.3807	2.3104	2.784	2.5267	2.3322	2.9957	2.5683	2.4905	2.5359	2.5359	2.6924	2.6828	2.122	2.2783	2.3866	2.3416	2.6992	2.9411	2.042	2.5532	2.5373	2.3053	2.4164	2.3891	2.4046	2.612	2.692	2.3625	2.1975	2.2808	2.5766	2.4846	2.7563	2.7407	2.7078	2.5255	2.6957	2.6561	2.161	2.4434	2.4215	2.2094	2.3775	2.6857	2.5616	2.6321	2.6203	2.3466	2.5325	2.7601	2.9842	2.5898	2.3133	2.9695	2.4108	2.6079	2.4966	2.5974	2.7837	2.5237	2.3444	2.3823	2.3888	2.3567	2.0536	2.4407	2.1775	2.193	2.7682	2.3194	2.0547	2.085	2.5555	2.6119	2.4075	2.0198	2.4019	2.4449	2.1811	2.576	2.2795	2.2627	2.3646	1.9791	2.5236	2.5123
"LOC101927914"	3.8963	4.2912	4.4935	3.9919	4.3323	4.2109	4.3127	4.1264	4.0922	4.6483	3.9844	3.8552	4.0023	4.1612	4.3905	4.4884	4.3823	4.0507	4.5271	3.7942	3.8123	4.1174	3.9276	4.0961	4.3452	3.9387	4.0028	4.2363	3.99	4.0525	4.2407	4.0947	4.4713	3.6564	4.0934	4.0502	4.2212	4.3247	4.3632	4.219	4.353	4.0545	4.3534	3.9734	3.9973	4.0969	4.1832	3.9539	4.4146	4.1902	4.2908	4.3465	4.5118	4.4159	4.3614	3.9646	4.6252	4.3414	4.1184	4.1494	3.6541	3.8725	4.2841	3.9727	4.1672	4.0116	3.851	4.5147	4.1188	4.0839	4.2163	4.1193	3.9964	3.9597	4.5831	4.4943	4.1532	4.3742	3.9322	4.3372	4.021	4.1	4.0811	4.0155	4.0216	3.6421	3.93	4.2701	4.1359	3.9976	4.0408	3.884	4.5164	4.4771	4.0626	4.0385	3.5938	3.8524	3.8769	4.1248	4.0519	4.1287	4.0381	4.1532	4.0517	4.2748	3.842
"LOC101927929"	4.7628	5.0468	5.2937	4.8068	4.6291	4.7902	4.7675	4.8762	4.5439	5.3599	4.6041	4.8261	4.974	5.0192	5.2269	4.5719	4.6783	4.5935	5.6111	4.7641	4.9718	4.7101	5.0192	5.0915	4.8163	5.3066	5.0752	4.8896	4.622	4.731	4.8544	4.4924	4.193	4.7606	4.8412	4.8865	4.9801	5.0238	5.2672	4.719	4.8622	4.4725	4.9126	4.7423	4.8681	5.018	5.1629	5.0053	4.7171	4.6616	4.4893	4.8002	4.8658	5.1564	5.04	4.9728	4.7973	4.7611	5.0389	4.805	4.5826	4.7571	5.0303	4.9501	5.135	4.9187	4.7059	4.8924	4.9985	4.8762	5.1514	4.9738	5.0836	5.0812	4.6195	4.7735	4.8142	4.9435	5.0062	5.263	4.8178	4.7673	5.4326	4.6903	4.9882	4.7592	4.7107	4.8865	4.8016	4.8403	5.1627	5.0279	5.1459	5.0652	4.9552	4.6695	4.7524	4.6171	4.8764	4.6095	4.4934	4.3716	4.8686	4.8511	4.6797	4.7212	4.6293
"LOC101927934"	4.0018	2.9079	3.6	3.2697	3.1056	3.1647	3.329	3.7597	3.505	3.9602	3.7237	3.6477	3.7363	3.364	3.5126	3.4825	3.3825	3.1644	3.8806	3.9658	3.2629	3.7916	3.2822	3.4788	3.7643	4.3417	3.677	3.5587	3.5355	3.5295	3.2593	3.0206	4.1836	3.575	3.3918	3.6994	3.8919	4.1663	3.611	3.541	3.4985	3.7709	3.7942	3.4001	3.7476	3.9862	3.9576	3.5033	3.9076	3.2266	3.4008	3.6613	3.6151	3.8026	3.3785	3.4482	3.4481	3.4887	3.6717	3.4672	3.4262	3.5998	3.9192	3.4151	3.3024	3.1617	3.213	3.5644	3.6369	3.8366	3.7459	3.5841	3.0596	3.9001	3.782	3.6144	4.2304	3.6226	3.3748	3.6164	3.556	3.244	3.4664	3.7737	3.2513	3.3862	3.4212	3.677	3.3739	3.2175	3.8767	3.4571	3.6301	3.1793	3.8091	3.6662	3.4936	3.4634	3.5301	3.3965	3.9612	3.646	3.8845	3.2905	3.2197	3.3203	3.7655
"LOC101927943"	2.2268	2.1508	2.576	2.1992	2.2968	1.8642	2.2361	2.1703	2.8056	2.1246	2.4786	2.4644	2.128	2.5392	2.4104	2.2612	2.4468	2.7808	2.2771	2.118	2.3528	2.5293	2.3436	2.3533	2.2962	2.2604	2.1401	2.4202	2.3487	2.1991	2.4717	2.6335	2.8251	2.7589	2.5141	2.4259	2.267	2.0393	2.2065	2.3771	2.1998	2.5904	2.3286	2.3263	2.1561	2.5898	2.6294	2.4345	2.97	2.4122	2.9377	2.8771	3.0854	2.8874	2.6112	2.4355	2.3592	2.6637	2.232	2.0567	2.6899	2.5117	2.6728	2.4232	2.345	2.8315	2.2109	2.4287	2.7722	2.2976	2.3756	2.5966	2.3369	2.6328	2.5288	2.4524	2.4598	2.2541	2.5714	2.7426	2.5911	2.8342	2.6683	2.0129	2.3151	2.141	2.2915	2.4701	2.3286	2.2846	2.1205	2.8093	2.4982	2.6833	2.4627	2.4681	2.4531	2.0902	2.4681	2.1395	2.3189	2.2317	2.1728	2.5256	2.4029	2.2065	2.204
"LOC101927948"	2.3136	2.9767	2.9019	2.6787	2.4899	2.2768	2.3704	2.1754	2.5696	2.4829	2.4763	2.2913	2.4497	2.1651	2.4719	2.7426	2.7883	2.255	2.7264	2.9397	2.3535	2.821	2.3162	2.5304	2.3864	2.3686	2.2493	2.748	2.3147	2.3486	2.4751	2.2891	2.5607	2.1529	2.4489	2.4688	2.323	2.7224	2.8728	2.47	2.5331	2.5161	2.0636	2.1801	2.0765	2.7634	2.5794	2.1834	2.4899	2.5161	2.5873	2.3165	2.3589	2.4296	3.0007	2.3795	2.8532	2.3578	2.4475	2.1868	2.3147	2.7227	2.1347	2.2383	2.7705	2.3186	2.0031	2.7495	2.5817	1.9746	2.6855	2.4603	2.7493	2.6554	2.8372	2.1266	2.52	2.3187	2.4958	2.8698	2.4171	2.2742	2.2643	2.3362	2.3997	2.2436	2.4873	2.7696	2.4372	2.8609	2.5349	2.5875	2.6393	2.7952	2.329	2.4962	2.4475	2.3873	2.3958	2.3532	2.7483	2.2043	2.4775	2.2084	2.1505	2.3481	2.6228
"LOC101927950"	4.944	4.6469	4.0727	4.3439	3.8192	4.1954	4.4531	4.6082	4.4967	4.6485	4.1666	4.2341	4.2869	4.545	4.5775	4.2115	4.1996	4.115	4.4759	4.2796	4.3915	4.1	4.0678	4.438	4.1833	4.571	4.7576	4.4092	4.4696	4.2495	3.7544	3.7586	5.0783	3.8997	4.0493	4.2165	4.2191	4.8287	4.2245	3.9438	4.2347	4.3989	4.359	4.2399	4.1224	4.5552	4.2022	4.0019	4.1304	4.3216	4.3747	4.3599	4.3853	4.2196	4.8088	4.5534	4.6892	5.0332	4.4481	4.2629	4.5296	4.1733	4.2359	3.9365	4.1584	3.967	4.2221	4.3191	4.178	4.4279	4.2746	4.3571	4.0609	4.3073	4.2816	4.4006	4.0146	5.0281	4.4175	4.7641	4.4923	4.7147	4.1186	4.1349	4.0218	3.9872	4.0489	4.5838	4.2664	4.2054	4.8008	3.7941	4.3406	4.4904	4.0945	4.3736	4.0416	3.8475	3.8442	4.2395	4.1459	4.1574	4.0408	4.0116	3.5913	4.1672	4.0737
"LOC101927972"	2.2394	1.8762	2.2366	1.6873	2.0747	1.9777	1.8178	1.8042	2.0825	2.0825	2.0892	1.7607	1.9349	2.0238	1.8577	1.8206	1.891	2.1029	2.1187	2.0901	1.7824	1.9587	1.5984	1.9625	1.8114	2.1372	2.49	2.2826	2.0442	1.7623	1.8656	2.1282	2.0705	2.2962	1.866	1.8075	2.1606	1.9336	2.1217	1.9336	1.9836	2.0049	2.386	2.0012	1.8255	2.2995	2.0771	1.7214	2.2896	2.0072	2.1022	2.561	2.3012	1.934	1.9891	1.8652	2.0052	2.1646	2.0782	2.13	1.9677	2.1592	1.727	2.0711	2.2077	1.6843	1.8722	2.1218	1.8854	2.1378	1.8915	1.7873	1.7264	1.5948	2.1334	2.2225	2.4733	2.0486	2.0726	1.9258	1.7119	1.9555	2.0202	2.0381	1.89	1.7801	1.7915	1.927	1.7848	2.0834	1.7087	2.0659	2.1481	2.0113	2.325	2.0602	1.8216	2.1817	1.9026	1.8945	1.8643	2.2756	2.1063	1.9185	1.7861	2.2078	2.174
"LOC101927974"	4.9844	5.5553	5.4341	5.4699	5.661	5.4333	5.344	5.7824	5.903	5.6721	6.0595	5.8489	5.3916	6.6986	6.3151	5.6062	5.2284	5.3738	4.9532	5.3132	5.1273	4.9652	5.6416	5.548	5.5118	5.4611	5.4682	4.5356	5.8161	5.7773	5.338	6.0153	5.567	5.5048	5.2762	5.6483	5.0732	4.6861	5.0283	5.0276	5.4419	5.8323	5.1948	5.371	5.7526	5.0364	5.1705	5.461	5.2332	5.8881	5.461	4.7887	4.9941	5.3608	5.2401	5.6004	6.2317	6.3155	5.5137	6.5528	6.2405	5.3856	4.9435	5.433	4.9271	5.0287	4.8367	5.6437	5.372	4.9711	5.4051	5.2577	5.2645	4.7166	4.9946	4.5267	5.2179	5.4994	5.6295	5.1705	5.4302	5.7778	5.0434	4.8813	4.8071	4.8451	4.7869	4.6554	5.0297	4.3022	4.7858	4.3488	4.4795	4.7989	4.5821	4.8271	5.5732	4.4404	4.1804	4.4053	4.6587	4.0555	4.8014	4.6349	4.4945	4.5225	5.0198
"LOC101927988"	1.4875	1.74	1.6955	1.9291	1.6515	1.8374	1.7032	1.5055	1.5538	1.8302	1.6375	1.8278	1.5843	1.614	1.623	1.6141	2.029	1.8025	1.6585	1.7287	1.7086	1.6063	1.5435	1.655	1.6886	1.9696	1.6763	1.7934	1.7545	1.8775	1.6397	1.7246	1.9551	1.8202	1.7559	2.1477	1.6749	1.6537	1.524	1.9732	1.8357	1.6052	1.701	1.669	1.8968	1.8347	1.7661	1.7517	1.825	1.7823	1.7583	1.8146	2.312	1.8862	2.6717	2.1374	1.7086	1.6662	1.7125	1.7916	1.6593	1.7147	1.3882	1.7822	1.6461	1.5296	1.8103	1.813	1.7702	1.7938	2.0536	1.7931	2.2569	1.8785	1.6144	2.2208	1.5228	1.9567	1.5287	1.6936	1.7705	2.0353	1.6631	1.7863	2.0449	2.0762	1.6787	1.8151	1.8939	1.6978	1.7026	1.606	1.6383	1.8154	1.6696	1.7698	1.6248	1.6099	1.5072	1.5472	1.7313	1.7668	1.6441	2.2109	1.7832	1.5889	1.6185
"LOC101927990"	2.2277	2.472	2.6095	2.2568	2.2372	2.494	2.2141	2.3545	2.325	2.7689	2.672	2.7481	2.2322	2.7711	2.6254	2.3841	2.1869	2.5397	2.4858	2.8716	2.2275	2.2382	2.7832	2.7189	2.3445	2.5375	2.9007	2.4051	2.3772	2.42	2.5675	2.6133	2.3827	2.3994	2.2991	2.3018	2.2864	2.7377	2.3202	2.5589	2.7584	2.1386	2.7363	3.0183	2.4244	2.803	2.5094	2.3949	2.6546	2.4097	2.199	2.6691	2.6843	2.7173	2.88	2.5189	2.259	2.7176	2.6681	2.6547	2.3992	2.3199	2.7915	2.3691	2.2563	2.1618	2.2862	1.9836	2.5275	2.5478	2.5682	2.5359	2.5415	2.6768	2.282	2.1725	2.5695	2.5636	2.1651	2.4727	2.6597	2.8287	2.4423	2.3497	2.3898	2.3396	2.1641	2.4816	2.746	2.4285	2.2826	2.3519	3.1143	2.3592	2.7232	2.4074	2.3775	2.212	2.5163	2.4719	2.3901	2.1828	2.0905	2.1362	2.3485	2.4387	2.4211
"LOC101928000"	4.2677	4.0865	4.74	4.5893	5.1105	5.0117	4.0959	4.197	4.0977	4.3505	4.0991	4.6875	4.0625	4.2447	3.9044	3.9612	4.0994	4.1318	4.2615	4.3707	4.0563	4.3486	4.1091	4.059	4.1669	4.3208	3.8038	4.1408	4.2032	4.3965	4.0133	4.4115	4.212	4.4135	4.4758	4.392	4.0075	4.2685	4.2341	3.9688	4.0524	4.0436	4.6974	4.5674	4.8015	4.4394	4.2759	4.2577	4.1607	4.0511	4.5602	4.2022	3.8651	3.7524	3.9157	4.3625	3.994	4.5643	3.9112	3.9357	4.1495	4.3364	4.2541	3.9872	4.1166	4.1111	4.1797	4.4095	4.1148	4.0681	4.5207	4.5587	4.3458	3.9145	4.2442	4.2006	4.2305	4.0365	4.0768	4.4249	4.3321	4.4117	4.5255	4.1561	4.4005	4.6898	4.3653	4.1365	3.8072	3.9536	3.9938	4.0314	4.1166	4.2661	3.8927	3.9402	4.6405	4.0437	4.3822	4.4018	4.3888	4.2418	4.4824	4.4304	4.5548	4.411	4.4445
"LOC101928001"	2.3277	2.2386	2.1227	2.0897	2.1987	2.0053	2.1136	2.1416	1.9946	2.1411	1.9469	2.2277	2.1744	2.1317	2.418	2.2224	2.2357	2.1144	2.0938	2.2826	2.1182	2.1347	2.1107	2.2345	2.1452	2.2316	2.1163	2.2943	2.2007	2.1726	2.2819	2.2185	2.5351	1.9516	2.1581	2.0045	2.1622	2.4683	2.1914	2.0678	2.0192	2.083	2.3064	2.057	2.1013	2.1585	2.1187	2.1863	2.1016	2.1478	1.8615	2.2008	2.4728	2.17	2.41	2.0995	2.4473	2.2645	2.3527	2.1152	2.3148	2.0441	2.2243	2.0756	2.0814	2.0512	2.0322	2.1821	2.2703	2.4104	2.2497	2.4585	2.1016	2.5038	2.5911	2.3085	2.4293	2.0587	2.1629	2.1872	2.0938	2.3714	2.1161	2.1518	2.0444	2.0339	2.0683	2.2054	2.2278	2.3462	2.3645	2.4604	2.3783	2.5274	2.3738	2.056	2.1364	2.1495	2.0761	2.1264	2.1253	2.0594	1.9719	2.004	2.0648	2.0152	2.0059
"LOC101928002"	2.2224	2.6684	2.1153	2.0631	1.8639	2.317	1.9144	2.202	1.8774	2.2241	2.0629	1.8378	1.964	1.9632	1.8325	2.7065	2.0517	2.2976	2.2429	2.2197	1.9916	1.9368	2.0186	2.108	1.8433	2.0612	2.1438	1.9523	1.9058	1.9712	1.8303	1.9414	2.3944	1.7457	2.1508	2.0219	1.8672	2.1913	2.2888	2.0656	1.8153	1.7728	2.317	2.0951	1.9808	2.0305	2.1027	2.0253	2.1417	1.8091	1.8137	2.5299	2.2475	2.063	2.2359	2.0852	1.8901	1.9561	1.9324	1.9138	2.1311	1.9506	2.2831	1.8894	2.2775	2.1279	2.0928	2.0923	2.2142	2.093	1.9877	1.8841	2.0032	1.8884	2.342	1.9126	2.1564	2.5495	1.9607	2.234	1.9028	1.9652	2.2015	1.856	1.9262	1.8361	1.9729	2.0675	2.2048	2.1046	2.3779	2.0675	2.1968	2.1421	2.045	1.7656	2.2012	2.4103	2.1496	2.0645	2.2805	2.1082	2.2078	1.9018	2.0747	2.5726	2.2234
"LOC101928009"	3.1306	3.385	3.7881	3.4803	3.0057	3.5164	3.1488	3.3515	3.1034	3.6034	3.2265	4.0975	3.2611	3.1153	3.5792	3.3297	2.8924	3.3135	2.9205	3.5367	3.1107	2.8428	3.3098	3.0718	3.42	3.5437	3.1964	3.3148	3.3922	3.1978	3.1879	3.1185	2.9354	3.0364	3.1696	2.8944	3.2439	3.3123	3.3749	3.191	3.4337	2.8922	3.1056	3.384	3.7535	3.3573	2.8479	3.0977	3.4558	3.2486	3.1964	3.5677	3.7277	4.1679	3.2298	3.459	3.2963	3.1601	3.3766	3.2249	3.5512	3.2164	3.3498	3.2826	3.0497	3.2734	3.6307	3.3016	3.4008	2.9889	3.3846	3.221	2.9437	3.0303	3.3486	3.4847	3.2785	3.3389	3.417	3.3012	3.5659	3.0476	3.5762	2.8207	3.1258	2.7758	3.111	3.1375	3.139	2.8203	3.2047	3.39	3.5854	3.3871	3.3272	3.0892	3.1543	3.0197	3.1881	3.0122	3.4625	3.0631	2.9835	3.0948	3.0474	3.418	3.0918
"LOC101928012"	2.473	2.4607	2.4131	2.2191	2.4261	2.1498	2.3562	2.3016	2.7527	3.0006	2.3929	2.7273	2.2475	2.0943	2.6578	2.1183	2.3508	2.2549	2.4867	2.5207	2.2647	2.2727	2.3135	2.292	2.4472	2.5979	2.3739	2.508	2.5173	2.4527	2.3464	2.1857	2.3647	2.1872	2.4308	2.4401	2.4235	2.1985	2.5197	2.224	2.3344	2.6571	2.3868	2.44	2.4317	2.7443	2.552	2.6321	2.1779	2.2714	2.2275	2.516	2.4098	2.8061	2.4032	2.0636	2.2221	2.3365	2.2715	2.2063	2.1707	2.2962	2.7383	2.3145	2.3016	2.2638	2.2462	2.4893	2.3359	2.3727	2.4581	2.6772	2.5381	2.759	2.3277	2.3315	2.6156	2.7052	2.5911	2.6104	2.1857	2.558	2.099	2.2716	2.43	1.9995	2.3023	2.2629	2.2637	2.3739	2.4756	2.2208	2.2057	2.5875	2.3332	2.448	2.217	2.0722	2.3409	2.3034	2.2588	2.2719	2.2385	2.2251	2.1632	2.1802	2.2462
"LOC101928014"	3.5273	3.1605	3.0129	3.21	3.31	3.5118	4.133	3.4026	3.4261	3.543	3.5498	3.7025	3.8096	3.4234	3.5399	3.5457	3.6055	3.3879	4.0085	3.9118	3.5534	3.4042	3.4825	3.5119	3.1463	3.6318	3.7518	3.541	3.3036	3.1983	3.7571	4.2265	3.1371	3.1206	3.5539	3.6096	3.4082	3.7155	3.9096	3.315	3.4537	3.2997	3.4429	3.8474	3.6653	3.4175	3.5955	3.2325	3.5052	3.0907	3.8283	4.0954	3.9483	3.4702	3.4671	3.2623	3.4547	4.0174	3.5028	3.3032	3.6535	2.9988	3.7791	3.6517	4.0018	3.6611	3.4139	3.477	3.577	3.8146	4.0117	3.5998	3.9363	3.6242	3.7303	4.2097	4.0741	3.5324	3.7905	4.0512	3.6403	3.1971	3.3093	3.5877	3.5283	2.8837	3.5391	3.6292	3.8593	3.8518	3.5963	3.6702	4.1668	4.0652	3.965	3.2651	3.1509	3.2965	3.079	3.4015	3.5081	3.7471	3.1412	3.5408	3.0724	3.0107	3.3644
"LOC101928020"	2.2617	2.1599	1.9872	2.2254	2.1401	2.1346	2.0606	2.0209	2.127	2.0991	2.0761	2.3544	2.2512	2.0421	2.2822	2.0411	2.1081	1.9858	2.2805	2.0846	1.9605	2.17	2.0332	2.057	1.9626	1.8463	1.8568	2.1011	1.9807	1.7514	2.1922	1.899	2.1314	1.7084	1.9465	2.0225	2.0632	1.8762	2.1419	1.9641	1.9619	1.9934	2.2088	1.7184	2.1341	2.0745	2.1428	1.8749	2.1962	1.785	1.8184	2.1331	2.3257	2.3718	2.2177	2.0307	2.5916	2.4086	2.1345	1.8047	1.7837	2.007	2.048	2.0128	1.894	1.8466	2.2378	1.9252	1.9304	1.9831	2.0979	2.3115	1.9976	2.2472	2.0918	2.0996	2.2194	2.0106	2.1143	1.7768	2.0798	2.0132	2.0221	1.9444	2.0126	2.0824	1.9133	2.0258	2.1054	1.96	2.1972	1.7286	2.101	1.8841	2.1316	2.1238	1.8362	1.799	1.8057	1.9369	2.1945	1.6929	1.7892	2.1912	1.9437	1.8908	1.9938
"LOC101928031"	2.7016	2.4983	2.9153	2.5013	2.2653	2.2656	2.3372	2.7073	2.549	3.051	2.6582	2.8015	2.5235	2.8101	2.8875	2.5703	2.6378	2.346	2.8088	2.7814	2.6066	2.8116	2.7278	2.6153	2.6823	2.5161	2.614	3.1787	2.7156	2.674	2.3289	2.9934	3.2398	2.7454	3.0141	2.5231	3.0448	2.7559	2.6024	2.7138	2.7589	3.1106	2.9618	2.4076	2.6333	3.0955	3.1177	2.9228	2.5224	2.6844	2.4447	2.611	3.7316	2.7774	2.9684	2.5579	2.8211	2.8413	2.6212	2.8507	2.4369	2.2009	2.7478	2.603	3.0318	2.5398	2.5542	3.1124	2.446	2.6223	3.4712	2.7763	2.5936	2.6294	3.1662	2.2445	3.4254	2.6486	3.213	2.7721	2.2404	2.3631	2.7433	2.7328	2.8581	2.5792	2.6877	2.5539	2.9162	2.831	2.8108	2.756	2.878	3.7077	3.0053	2.6524	2.7373	2.7306	2.9581	2.8054	2.6766	2.9027	2.8536	2.6627	2.5795	2.9615	2.6761
"LOC101928035"	2.462	2.2669	2.3362	1.8859	2.4886	2.2144	2.3857	2.1492	2.6727	2.1924	2.1495	2.2655	2.0668	2.4188	2.3268	2.1025	2.1616	2.3232	2.3748	2.0798	2.2208	2.38	2.2471	2.3555	1.901	2.0847	1.995	2.4797	2.3447	1.9708	2.5288	2.0131	2.4518	2.0146	1.9631	2.3633	2.3756	2.4766	2.0905	2.0651	2.0756	2.242	2.2578	2.3694	2.0337	1.9708	2.5095	2.2418	1.9231	1.9011	2.1289	2.0096	2.157	2.039	2.061	2.2424	2.128	2.5761	2.2632	2.2888	2.3649	2.0957	2.1625	2.1835	2.0417	2.159	2.3507	1.9042	2.058	2.1427	2.4566	2.0659	1.9915	2.1515	2.4571	1.9992	2.2349	2.1195	2.1626	2.3073	2.4545	2.1652	2.4594	2.099	2.0882	2.0924	2.3598	2.3118	1.89	2.258	2.4225	2.014	2.1953	2.1461	2.0332	2.3213	2.0341	2.1949	1.9735	2.2208	2.5277	2.1024	2.1645	2.2	1.9632	2.325	2.1965
"LOC101928043"	2.5291	2.4322	3.2512	2.6382	2.9943	2.821	2.6445	2.572	2.6578	2.962	2.4879	2.3733	2.4859	2.6132	2.5277	2.5467	2.6878	2.5511	2.3556	2.5902	2.533	2.7654	2.759	2.8232	2.1423	2.5631	2.5969	2.9704	2.3773	2.3147	2.8302	2.4667	2.3659	2.2768	2.5257	2.3822	2.3884	2.3896	2.722	2.2186	2.5259	2.3968	2.5153	2.5461	2.8463	2.2124	2.1101	2.3995	2.6299	2.6958	2.7527	2.8031	2.3508	2.6942	2.8333	2.4475	2.8874	2.7297	2.8456	2.6167	2.4396	2.6022	2.5701	2.2906	2.45	2.3544	2.2504	2.8875	2.3356	2.4782	2.5172	2.6304	2.2936	2.4006	2.3634	2.9822	2.2613	2.6026	2.1591	2.4824	2.5096	2.4429	2.9035	2.3343	2.5134	2.2634	2.5547	2.3345	2.3562	2.2761	2.8391	2.5185	2.6325	2.424	3.1217	2.4714	2.2677	2.3271	2.1997	2.3732	2.176	2.3895	2.0229	2.3154	1.9782	2.4413	2.4225
"LOC101928052"	1.9433	1.8748	1.7509	1.6068	2.0294	1.8207	2.2	1.6068	1.6051	1.8742	1.8384	1.7322	1.98	1.9176	1.9828	1.8117	2.4608	1.5793	1.7454	2.088	1.8507	1.8048	1.7538	1.9246	1.5801	1.8492	1.8824	1.7835	1.7346	1.9042	1.6785	1.8257	1.9887	1.6786	1.7651	1.6695	1.8719	1.8354	1.8647	1.8306	1.8635	1.7555	1.8475	1.7735	1.67	1.6127	1.7679	1.9549	1.6435	1.777	1.7457	2.0652	2.4089	1.931	1.5989	1.5426	1.8901	1.6969	1.671	1.7596	1.5836	2.1211	1.9892	1.6046	1.7056	2.0644	2.0134	2.0019	1.8625	2.2343	2.2117	1.8445	1.7348	1.8167	2.0495	2.0167	1.732	1.9919	1.9185	2.1345	1.7784	1.7861	1.7037	1.9916	1.7478	1.468	1.8247	1.8492	1.794	1.886	1.8853	1.8489	1.8573	1.6829	1.8168	1.5276	1.6638	1.8387	1.7005	1.7406	1.6479	2.2867	1.8159	1.652	1.7708	2.0261	1.8063
"LOC101928054"	4.277	4.3776	4.2708	4.9721	5.2762	5.3834	5.2081	5.3617	4.9924	4.4644	4.9819	4.8751	4.5337	4.8557	4.4571	4.7513	3.755	5.0183	3.7627	4.1947	4.8398	4.6792	4.6386	3.9838	4.5528	4.3277	4.5389	4.7834	4.657	5.1602	4.3642	3.7527	3.7577	4.9247	4.562	4.5489	4.12	3.5083	3.4926	4.5738	4.4942	4.1068	3.782	5.0197	4.8431	4.7084	4.1257	4.421	3.8381	4.4373	4.5755	4.2112	4.4496	4.327	4.4486	4.8275	4.2512	4.8803	4.8567	4.7112	4.6155	4.277	4.4624	4.7024	4.8948	4.2851	5.0973	4.0629	4.715	4.6184	4.015	4.3726	4.0401	3.9725	3.8606	3.8472	3.8032	5.0896	4.1515	3.9272	4.1753	4.2112	5.2222	5.1696	5.5983	6.1186	5.4928	5.1184	5.5928	5.2703	4.9188	5.5389	4.9748	4.9798	5.1669	5.4368	6.1674	5.6516	6.1551	5.8796	5.1423	5.184	6.1357	6.0514	6.3097	5.6515	5.4658
