"GSM648590"	"GSM648591"	"GSM648592"	"GSM648593"	"GSM648594"	"GSM648595"	"GSM648596"	"GSM648597"	"GSM648598"	"GSM648599"	"GSM648600"	"GSM648601"	"GSM648602"	"GSM648603"	"GSM648604"	"GSM648605"	"GSM648606"	"GSM648607"	"GSM648608"	"GSM648609"	"GSM648610"	"GSM648611"	"GSM648612"	"GSM648613"	"GSM648614"	"GSM648615"	"GSM648616"	"GSM648617"	"GSM648618"	"GSM648619"	"GSM648620"	"GSM648621"	"GSM648622"	"GSM648623"	"GSM648624"	"GSM648625"	"GSM648626"	"GSM648627"	"GSM648628"	"GSM648629"	"GSM648630"	"GSM648631"	"GSM648632"	"GSM648633"	"GSM648634"	"GSM648635"	"GSM648636"	"GSM648637"	"GSM648638"	"GSM648639"	"GSM648640"	"GSM648641"	"GSM648642"	"GSM648643"	"GSM648644"	"GSM648645"	"GSM648646"	"GSM648647"	"GSM648648"	"GSM648649"	"GSM648650"	"GSM648651"	"GSM648652"	"GSM648653"	"GSM648654"	"GSM648655"	"GSM648656"	"GSM648657"	"GSM648658"	"GSM648659"	"GSM648660"	"GSM648661"	"GSM648662"	"GSM648663"	"GSM648664"	"GSM648665"	"GSM648666"	"GSM648667"	"GSM648668"	"GSM648669"	"GSM648670"	"GSM648671"	"GSM648672"	"GSM648673"	"GSM648674"	"GSM648675"	"GSM648676"	"GSM648677"	"GSM648678"	"GSM648679"	"GSM648680"	"GSM648681"	"GSM648682"	"GSM648683"	"GSM648684"	"GSM648685"	"GSM648686"	"GSM648687"	"GSM648688"	"GSM648689"	"GSM648690"	"GSM648691"	"GSM648692"	"GSM648693"	"GSM648694"	"GSM648695"	"GSM648696"	"GSM648697"	"GSM648698"	"GSM648699"	"GSM648700"	"GSM648701"	"GSM648702"	"GSM648703"	"GSM648704"	"GSM648705"	"GSM648706"	"GSM648707"	"GSM648708"	"GSM648709"	"GSM648710"	"GSM648711"	"GSM648712"	"GSM648713"	"GSM648714"	"GSM648715"	"GSM648716"	"GSM648717"	"GSM648718"	"GSM648719"
"LOC101927820"	3.4243	2.7412	2.7042	3.0344	2.6612	2.958	3.1672	2.6791	2.9224	3.1442	3.2474	3.0761	2.9421	2.9049	2.8593	3.1146	3.0167	2.762	2.8997	2.8899	3.0616	3.0382	2.7807	2.9509	3.4887	3.1227	3.0771	2.9721	2.6627	2.8807	3.1707	2.8125	2.8939	2.7948	2.9037	3.1137	2.9224	2.9936	2.6336	3.0385	2.9375	2.7948	3.0588	2.9589	2.9862	2.5666	2.8683	3.1438	2.7537	3.0409	2.9307	2.6819	2.8097	3.402	2.8682	2.9041	2.8129	2.918	2.7331	2.8349	3.0485	2.8595	2.8834	2.871	2.7898	2.9251	2.9446	2.9875	2.6938	3.2825	2.8996	2.9009	3.0987	3.2911	3.1646	3.1033	2.9273	2.7792	2.885	2.7988	3.0761	2.7505	2.9036	2.7377	2.9033	2.8457	2.8902	3.2515	3.125	2.6798	2.886	2.7939	3.2419	3.0489	3.0741	2.9226	3.0437	2.859	2.8767	2.8327	2.7992	2.7317	2.7178	2.8929	2.9268	3.1506	2.9696	2.8808	2.9726	2.7993	2.8682	3.3106	2.9462	2.923	3.5804	2.7495	3.2402	2.8927	2.8775	3.0247	2.7832	2.5351	2.5542	2.7688	3.0739	3.1708	2.7261	2.9331	3.2039	2.8621
"LOC101927824"	4.6554	4.3022	4.0663	4.2692	4.6318	4.8487	4.7436	4.6454	4.2518	4.5587	4.7086	4.4491	4.5417	4.2374	4.3003	5.1602	4.742	4.0935	4.2029	4.4291	4.5459	4.5395	4.4312	5.0324	4.6956	4.8132	4.2091	4.9778	4.7427	4.6191	4.9586	4.703	4.4848	4.3544	4.387	4.562	4.4794	4.8914	4.5719	4.3153	4.7697	4.6484	4.5178	4.6984	4.638	4.2205	4.4154	5.0879	4.4917	4.6021	4.557	4.9793	4.9338	5.1255	4.1044	5.1667	4.6218	4.7347	4.2626	4.0943	4.5114	4.1673	4.6278	4.1789	4.3292	4.3645	5.0883	4.6768	4.4174	4.7827	4.2471	4.8257	4.6348	4.4496	4.5861	4.4626	4.5288	5.1235	4.7446	4.4136	4.5469	4.3291	4.6952	4.6519	4.5513	4.6712	4.363	4.6375	4.5266	4.5188	4.5312	4.6851	5.9647	4.4538	4.529	4.6687	4.9296	4.8728	4.5303	4.6196	4.4934	4.2828	5.0894	4.608	4.8559	4.3413	5.3263	5.2453	4.915	4.5241	4.5467	4.4945	4.209	4.6928	4.9334	4.1963	5.3065	4.293	4.8004	4.6679	4.6218	4.1597	4.457	4.2113	4.7303	4.8848	4.1955	4.6215	5.0498	3.8476
"LOC101927829"	2.986	2.932	2.6759	2.8371	2.7134	3.0863	3.2302	2.7984	2.9285	2.7625	2.728	2.9601	2.9272	2.6671	2.8348	3.0954	2.8291	2.7337	2.7738	2.7134	2.9702	2.752	2.7128	2.8306	3.1122	3.0584	2.8858	2.8834	2.856	3.0493	2.8982	2.8068	2.741	2.8025	2.7945	2.8596	2.8599	2.7395	2.6771	2.7771	2.9118	2.8477	2.6746	2.9454	2.9373	2.7947	2.9489	3.235	3.0212	2.933	2.7085	2.8592	2.904	3.43	2.6717	2.9209	2.6664	2.9348	2.7808	2.819	2.6887	2.8206	2.7861	3.0139	2.5834	3.0909	3.0177	2.6563	2.905	2.7617	2.6345	3.2641	2.9633	2.8121	2.9801	2.8935	2.6955	2.832	2.7143	2.8387	2.9687	2.7505	2.7936	3.1431	2.9865	2.7272	2.7456	3.1072	2.9349	2.8165	2.6681	2.78	2.9242	2.8626	3.0408	2.8915	3.1027	3.082	2.9663	3.2026	2.7794	2.844	2.9695	2.7406	2.6429	2.9688	2.9808	2.755	3.0448	2.7014	2.7157	2.9899	2.8588	3.3098	2.885	2.6672	2.9621	3.1229	2.7149	3.0553	2.836	2.7174	2.6886	2.7091	2.779	2.7824	2.6976	2.9975	3.0927	2.7953
"LOC101927830///TMLHE-AS1"	3.4991	4.1159	4.4644	3.9545	3.6852	4.1369	4.2681	3.7678	4.8437	4.784	4.7189	5.0017	5.0715	5.5124	4.5063	4.708	5.6156	6.4197	5.8541	5.9598	5.3479	4.7512	4.8976	4.8295	4.8651	3.8893	4.0549	4.4705	4.1321	4.6551	4.2893	5.1527	4.3933	5.8664	4.9398	5.2261	4.2668	4.4781	4.265	6.3811	4.2428	4.7478	4.7103	4.5029	4.5267	4.1808	4.764	4.3548	4.2497	3.8852	3.5209	4.4274	3.8053	3.8004	3.7946	3.7733	5.3908	4.2289	4.2667	3.9344	4.0149	5.7522	3.9382	4.4528	6.1703	4.8577	3.9369	3.786	3.8355	4.563	4.468	4.8868	5.5873	5.2142	5.1085	4.692	4.8412	4.2854	3.6427	3.5168	3.8545	3.2604	3.1252	3.3564	3.7417	3.8266	4.0556	3.6767	3.7749	3.8262	4.8447	3.9096	4.544	4.3653	5.5664	4.5587	3.9959	4.1482	4.1983	4.2341	4.2979	3.6882	4.1553	4.4367	4.098	3.8641	4.2584	4.5475	4.0655	3.6719	3.7514	3.6912	4.2003	3.8393	3.7384	3.8325	4.522	3.6473	5.1652	3.9111	5.3957	5.0037	5.167	5.9907	4.9544	4.1827	5.3139	4.9818	3.7504	4.5367
"LOC101927839"	4.8381	4.0499	4.5852	4.6689	4.6267	4.2675	5.1777	4.2631	4.431	4.6357	4.655	4.4956	4.5246	4.3965	4.461	5.0271	4.5422	4.279	4.5475	4.6272	5.2565	4.5458	4.4996	4.4702	4.8771	5.0476	4.3706	4.6312	4.2363	4.7583	4.7173	4.5038	4.5624	4.263	4.3471	5.0262	4.6061	4.1155	4.3815	4.5263	4.2852	4.1386	4.4179	4.7985	5.0218	4.8992	4.4721	5.1317	4.2941	4.7736	4.57	4.2464	4.6483	5.451	4.5793	4.7118	5.0551	5.4293	4.4864	4.5566	4.5789	4.1961	4.7208	4.9281	4.4106	4.5983	5.18	4.4567	4.461	4.7483	4.1786	4.3235	4.4805	5.0025	4.5166	4.5279	4.3668	4.9182	5.1033	4.4917	5.0217	4.554	4.822	4.1215	4.4642	4.5786	4.5348	4.8897	4.5366	4.8938	4.5655	4.4315	5.148	4.168	4.5284	4.7275	4.4924	4.0087	4.6358	4.5133	4.8299	4.2305	4.4196	4.3216	4.4468	5.2456	4.8224	4.4125	5.1243	4.335	4.9562	4.8533	4.6062	4.1963	5.0649	4.7257	5.3881	4.3598	5.0158	4.487	4.258	4.3315	4.3922	3.9852	4.7926	4.9033	4.1395	4.6114	4.609	4.0343
"LOC101927841"	3.8157	3.3894	3.2884	3.2729	3.486	3.6957	3.5607	3.6048	3.4843	3.186	3.1863	3.4081	3.3878	3.7177	3.2172	3.1503	3.1852	3.0098	2.9592	2.8485	3.349	3.3783	3.2542	3.6833	3.209	3.8168	3.633	3.1953	3.3343	3.149	3.4126	3.346	3.4187	3.1393	2.8449	3.0308	3.0828	3.4109	3.4171	3.0454	3.4266	3.4803	3.6049	3.3977	3.0609	3.4698	3.536	3.6602	3.4029	3.6703	3.4121	3.5022	3.2041	4.2126	3.806	3.7338	3.863	3.7154	3.4535	3.4839	3.4906	3.4782	3.5578	3.3618	4.1983	3.5269	3.5308	3.6435	3.599	3.7518	3.4985	3.3854	3.1636	4.5367	3.929	3.1026	3.0914	4.3005	3.0212	3.5934	3.6349	3.5509	3.6568	4.1882	3.6374	3.6345	3.3952	3.4507	3.44	3.3601	3.8979	3.6713	3.4178	3.1898	3.1752	3.2138	3.7057	3.2081	3.3062	3.2921	3.5131	4.2112	3.8312	3.4016	3.1555	3.6966	3.2811	3.4747	3.4635	3.8646	3.8338	3.8769	3.4529	4.0177	3.504	3.3949	3.8317	3.1064	3.4455	3.3445	3.0646	3.6594	3.1095	3.1307	3.1731	3.4713	3.2248	3.1931	3.9735	3.4788
"LOC101927843"	4.7251	4.2739	4.372	4.4482	4.3211	4.2868	5.1516	4.2416	4.2131	4.0869	4.2712	4.2706	4.1505	4.2823	4.2347	4.3543	4.1351	4.1099	4.0282	4.1453	4.171	4.1459	4.2444	4.521	4.7515	4.5896	4.3526	4.5199	4.291	4.4027	4.1062	4.1865	4.1603	4.3962	4.08	4.2927	4.1758	4.2124	4.0578	4.2053	4.2199	3.9502	4.3432	4.2422	4.2927	4.3441	4.7974	4.5407	4.4613	4.348	4.074	4.288	4.5088	4.8842	4.2287	4.3582	4.2281	4.2163	4.1827	4.4171	4.551	4.3391	4.2002	3.931	3.9295	4.3587	4.7876	4.2661	4.3684	4.3515	4.3441	4.8389	4.3142	4.7628	4.4056	4.3884	4.2695	4.421	4.7408	4.229	5.3316	4.1933	4.5633	4.3751	4.4176	4.2777	4.6532	4.4563	4.6015	4.105	4.3729	4.4008	4.5651	4.4582	4.5765	4.5199	4.0739	4.2833	4.4824	4.154	4.3972	3.9142	4.0714	4.0454	4.2254	4.7693	4.49	4.1843	4.359	4.2464	4.3107	4.2217	4.2218	4.4728	5.2576	4.3535	4.8225	4.1444	4.4842	4.3996	4.1786	3.7	4.1075	4.2354	4.5008	4.2398	4.0326	4.1626	4.3598	4.1484
"LOC101927849"	6.6341	5.6303	5.727	5.9012	5.0409	5.527	6.1196	5.2035	5.5221	5.7674	5.5513	5.6454	5.4959	5.3238	5.2776	5.8083	5.6777	5.3444	5.6072	5.5365	6.1584	5.4253	5.5012	5.4182	5.63	6.2602	5.7813	5.5437	5.177	5.2219	5.6417	5.4502	5.3648	5.4139	5.4847	5.6475	5.6384	5.2804	4.8217	5.2796	5.3949	5.1956	5.1151	5.4758	5.7516	5.4131	5.748	6.0532	5.6004	5.5609	5.9117	5.1606	5.8568	6.0238	5.0326	6.0283	5.1366	5.8986	5.4235	5.3741	5.6752	5.1703	5.3249	5.373	5.4264	5.6783	5.9175	5.4005	5.4173	5.9102	5.3144	4.9288	5.7158	5.8961	5.7285	5.7496	4.9743	5.6134	5.5242	5.4191	5.7244	5.2114	5.4915	5.2422	5.9783	5.304	5.3196	5.6414	5.7526	5.5531	5.2803	5.5151	6.3002	5.3738	5.4692	5.7977	5.3733	5.2527	5.6551	5.5193	5.226	5.1148	5.2637	5.1419	5.0522	6.0897	5.8416	5.4406	5.6922	5.56	5.4699	6.058	5.6898	5.7587	6.3496	5.2312	6.1644	4.9469	5.1644	5.8175	5.367	5.0724	5.0895	5.3646	5.8982	6.1111	4.9464	5.5746	5.5656	5.5706
"LOC101927869"	3.2903	3.2039	3.4314	3.2286	3.0141	2.9731	3.5082	3.309	3.1983	2.9036	2.9217	2.539	2.9036	2.7988	3.026	3.1577	3.1149	2.9384	2.9223	2.731	3.0052	2.8083	2.9732	2.9305	3.0689	3.1741	3.1245	3.2212	2.7384	3.0196	2.8465	2.7796	2.8526	2.679	2.8599	2.885	2.7817	2.757	2.7764	2.7332	2.8036	2.715	2.8803	2.9081	3.4457	3.1916	2.7788	3.4235	2.7986	2.9089	2.7493	2.8807	3.0309	3.341	3.2676	3.2321	2.8844	2.807	3.0268	2.9154	3.1986	2.9316	2.7113	2.915	3.4155	2.9418	3.2927	3.4362	3.0758	2.9065	3.8224	3.0696	3.2871	2.7514	3.1625	2.8381	2.8157	3.0467	2.8801	2.6767	3.0008	2.8073	2.7088	2.8375	3.6782	2.7977	2.8638	3.0617	2.7873	3.0495	3.1849	3.0622	3.1143	3.4355	2.8323	3.6346	2.5815	2.6441	2.8011	2.5641	3.0688	2.6404	2.8154	2.869	2.9189	3.2171	2.9791	3.4371	2.9815	2.9786	2.8283	3.0129	3.0702	3.0857	3.0998	2.8946	2.9985	2.7532	3.184	2.876	2.9312	2.7613	2.8241	2.8655	2.8304	2.8306	2.7262	3.0239	3.0243	2.8986
"LOC101927870"	2.6391	2.766	2.9492	3.0988	2.6627	2.8297	2.8525	2.9668	2.9385	2.6565	2.6692	2.7947	2.6973	2.6377	2.6684	2.6892	2.623	2.5462	2.5057	2.5392	2.8304	2.6372	2.5921	2.6101	2.7162	2.8952	2.6493	2.7529	2.5198	2.63	2.8724	2.6374	2.4907	2.5386	2.6264	2.7283	2.629	2.6237	2.507	2.3201	2.569	2.4211	2.4994	2.5743	2.8921	2.6437	2.5482	2.8346	2.461	2.708	2.8657	2.7939	2.71	3.0658	2.6284	2.9101	2.6524	2.8152	2.7951	2.7131	2.5285	2.76	2.6662	2.7524	2.6628	2.6867	2.8944	2.6029	2.7968	2.6456	2.9586	2.9554	2.8164	2.8299	2.9016	2.8434	2.6574	2.6753	2.8974	2.5677	2.729	2.5989	2.8864	2.6249	2.5377	2.7168	2.656	2.9634	2.6919	2.6833	2.7264	2.7137	2.7715	2.7447	2.656	2.7096	2.786	2.6645	2.8376	2.7591	2.9524	2.3387	2.6387	2.4661	2.6153	2.6402	2.7866	2.8936	2.7157	2.6886	2.6957	2.7262	2.4636	2.8985	2.9631	2.7002	3.1768	2.73	2.7353	3.0373	2.5849	2.4176	2.5609	2.5652	2.4866	2.6707	2.5139	2.6086	2.8238	2.612
"LOC101927876"	3.9353	3.5611	3.2521	3.8142	3.1439	3.7013	3.8089	3.4746	3.488	3.6315	3.9309	3.6533	3.3193	3.3616	3.5441	3.8251	3.5939	3.3175	3.8408	3.4686	3.8325	3.6987	3.3082	3.4514	3.7219	3.2079	3.7511	3.6829	3.0805	3.6569	3.5079	3.4681	3.432	3.1191	3.5753	3.2874	3.5276	3.6675	3.2945	3.4821	3.3283	3.3163	3.4543	3.5469	3.4753	3.8288	3.427	3.3526	3.2303	3.4652	3.5698	3.5198	3.4076	4.2584	3.4693	3.8863	3.7293	3.5951	2.9662	3.4048	3.4112	3.4953	3.3255	3.4791	3.5633	3.4176	3.8774	3.3866	3.7429	3.1506	3.4544	3.6766	3.2473	4.3207	3.8716	4.0475	3.0904	3.3246	3.661	3.322	3.6496	3.3949	3.263	3.2111	3.5764	3.2303	3.6111	3.8072	4.0759	3.5556	3.6997	3.1321	3.4827	3.9657	3.6803	3.7682	3.5073	3.486	3.7546	3.1767	3.9962	2.9056	3.9997	3.6363	3.7962	3.4733	4.2962	3.6287	3.4727	3.3185	3.7675	4.0229	3.3589	3.0909	3.9179	3.3539	3.8229	3.1974	3.4735	3.4827	3.1306	3.1974	3.3432	3.5448	3.5104	3.5348	3.3612	3.5384	3.9495	3.5539
"LOC101927877"	5.7339	4.8988	5.2146	5.5373	5.324	5.4066	5.6369	5.1308	5.232	5.2552	5.4614	5.2346	5.1441	5.0513	5.0798	5.5778	5.3174	4.7628	5.2447	5.3399	5.5142	4.8754	5.1679	4.8031	5.4629	5.5874	5.4334	5.2538	5.0983	4.975	5.4984	5.1505	5.2087	5.002	5.2701	5.1838	5.3399	4.8868	4.6562	4.8056	5.0818	4.8719	4.8337	5.1269	5.6138	5.0887	4.9983	5.4626	4.5963	5.2753	5.22	5.4306	5.379	5.9992	4.9942	5.3377	4.8703	4.7557	5.003	4.8535	5.3903	4.9005	5.2079	5.1552	4.9287	5.1711	5.4715	5.1743	5.3314	5.3819	5.4928	4.9054	5.1625	4.5776	5.0998	4.7314	4.7999	5.3195	5.4237	4.8352	5.1361	5.2304	5.4595	4.8031	5.2017	5.3956	5.0092	5.5894	5.2173	5.0092	5.4414	4.7494	5.8438	4.9661	5.3777	5.6014	5.0105	4.9119	5.0876	5.2849	4.8851	4.8445	4.9717	4.4751	4.8787	5.4638	5.6585	5.3434	5.1416	4.9872	4.7987	5.1736	5.1798	5.0536	5.4507	5.0645	5.5326	4.9262	5.5244	5.0633	4.967	4.9197	5.196	5.046	5.0997	5.3282	4.7996	5.0553	5.6415	5.2163
"LOC101927884"	6.7046	5.0875	6.2603	6.0727	5.7959	5.5055	5.6072	5.9068	6.2694	5.6946	5.9844	5.5991	5.4614	5.4969	5.9181	5.5039	5.8379	5.5984	5.5001	5.6387	6.145	5.4862	5.6828	5.2983	5.5909	6.126	6.2083	5.8709	5.2609	5.7103	5.5606	5.7004	5.9493	5.5743	5.688	5.6626	5.8683	5.117	5.3843	5.024	5.1331	5.1895	5.3466	5.4435	6.2158	5.6461	5.5379	6.1287	5.1047	5.4528	5.4389	5.3812	5.6508	5.8433	5.6384	6.0236	4.9654	5.6048	5.1912	5.6776	5.3304	5.4295	5.545	5.9474	5.7437	5.7386	5.4606	5.1231	5.5541	5.2043	5.9511	5.4526	5.989	5.052	5.3842	5.5635	5.4302	5.5745	5.4995	5.1262	5.2112	5.3785	5.2665	4.9639	5.2743	5.5745	5.8674	6.0698	5.1715	5.6969	5.9416	5.7326	6.4388	5.9767	5.9212	6.1118	5.4904	5.1946	6.3965	5.4865	5.3509	5.1133	5.5158	5.3367	5.0779	5.9987	6.0864	5.6632	5.148	5.581	5.5797	5.505	5.4808	5.5847	5.8105	5.4342	5.7133	5.7464	5.6035	5.5737	5.572	5.5628	5.7774	5.5327	5.8352	5.2037	5.562	5.8561	5.3848	5.1912
"LOC101927886"	5.2667	5.6167	5.2297	4.9883	4.7424	4.6742	4.9901	5.0938	4.8513	4.9532	5.1754	4.8137	4.7699	5.2852	4.7866	5.216	5.0967	5.0062	4.8263	4.5197	5.0808	5.0697	4.6933	5.1599	5.1186	5.4648	5.1233	4.952	4.9116	4.6606	4.9582	4.8843	4.7899	4.7324	4.7583	4.9867	5.0692	4.85	5.0375	4.8493	4.9978	4.9928	4.63	4.7464	4.9987	5.0113	4.837	5.3494	4.7243	4.9147	4.4582	5.0104	4.845	6.0664	5.0147	5.3744	4.6581	5.2029	4.7645	5.2737	4.9989	4.7795	4.7471	4.8546	4.5443	4.7329	5.3444	4.9609	4.9015	4.715	4.7167	4.3996	4.5833	5.0442	4.7941	4.2219	4.6548	5.048	4.8163	5.1958	5.2136	5.0332	5.0292	5.2485	5.5236	5.1225	5.0583	5.459	5.6152	5.9177	4.7194	5.0976	5.9576	4.7719	5.0623	4.793	4.794	4.9279	4.8771	4.1736	4.7859	4.927	4.5873	4.834	5.1772	5.5238	5.1099	4.7005	5.0084	5.2109	5.0945	5.3633	4.597	5.3237	4.9875	5.3873	5.5648	5.1328	4.8994	5.2171	4.6655	4.6903	4.5622	4.749	5.194	5.2051	4.7116	5.2415	5.1628	4.8212
"LOC101927900"	4.0137	3.3527	3.7898	3.8065	3.4791	3.726	3.8694	3.6036	3.7187	3.3852	3.6921	3.4309	3.367	3.3929	3.4206	4.0039	3.7619	3.3576	3.5547	3.5999	3.735	3.2388	3.4549	3.551	4.0593	4.0742	3.7174	3.7778	3.24	3.5729	3.9351	3.5462	3.5458	3.4718	3.4159	3.6311	3.5607	3.2618	3.1506	3.3956	3.1277	3.3717	3.4793	3.58	3.9689	3.6295	3.5574	4.1123	3.8372	3.6261	4.0848	3.5119	4.0419	4.6352	3.3918	3.8918	3.8534	3.6544	3.5588	3.5445	3.8669	3.4038	3.5837	3.4318	3.8441	3.5188	3.8719	3.5648	3.3814	3.4515	3.6457	3.6402	3.9509	3.3367	3.4698	4.097	3.4445	3.7316	3.6322	3.5281	3.7088	3.4552	3.8536	3.5438	3.7611	3.492	3.7291	4.0235	3.7925	3.8706	3.563	3.7272	4.4517	3.7143	3.8872	3.8132	3.3515	3.7402	4.0486	3.3825	3.7843	3.2189	3.2566	3.46	3.7207	3.8903	3.6439	3.4621	3.7366	3.5349	3.4186	3.5209	3.7777	3.906	4.1916	3.8081	4.5677	3.357	3.8148	3.7024	3.4016	3.719	3.7352	3.6039	3.9742	3.9597	3.5452	3.8438	3.3438	3.293
"LOC101927901"	4.1667	3.6379	3.3807	3.4029	3.3386	3.1563	3.9858	3.4399	3.3865	3.1953	3.5183	3.1746	3.049	3.1998	3.0853	3.1131	3.461	3.2289	3.1451	3.2588	3.4031	3.3166	2.9937	3.4302	3.3814	3.553	3.2222	3.4509	3.0481	3.2509	3.4749	3.258	3.1035	3.0429	3.1421	3.264	3.3051	2.906	3.063	2.9345	3.2192	3.1372	3.1588	3.0813	3.3775	3.2935	3.9876	3.1252	3.3063	3.4106	3.2682	3.6637	3.7463	4.4912	3.2031	3.6063	3.3052	3.711	3.5605	3.2073	3.4444	3.1868	3.4364	3.4379	3.0232	3.3811	3.7995	3.1503	3.5269	3.4388	3.1906	3.3847	3.0823	3.6758	3.6404	3.4947	3.1548	3.3453	3.4349	3.4328	3.3146	3.139	3.6133	3.5665	3.3107	3.5093	3.5223	3.5143	3.5911	3.7614	3.2189	3.1945	4.3049	3.094	3.0398	3.5225	3.398	3.2267	3.3869	3.2364	3.6654	3.0792	3.071	3.1479	3.1584	3.5538	3.3257	3.3486	3.2781	3.2899	3.3893	3.7385	3.3104	3.5491	4.2608	3.4749	3.779	3.2742	3.2292	3.2373	3.0834	3.052	3.2471	2.8992	3.4202	3.6878	3.205	3.1206	3.9706	3.4379
"LOC101927907"	3.6319	3.2558	3.4651	3.2766	3.0091	3.3658	3.7067	3.3742	3.7535	3.3694	3.3929	3.4717	3.4207	2.9044	3.5031	3.5508	3.6704	3.5229	3.2297	3.3889	3.6391	3.3977	3.3876	3.4084	3.7587	3.4839	3.3392	3.4855	3.2922	3.0051	3.5136	3.2618	3.4964	3.2658	3.5159	3.4946	3.3713	2.6096	3.0681	3.4234	3.4408	3.142	3.2338	3.4397	3.4841	3.186	3.4126	3.5105	3.0911	3.6382	3.3528	3.2889	3.6782	4.1541	3.2333	3.4783	3.7504	3.5002	3.1521	3.1748	3.4472	3.236	3.0681	3.2803	2.7341	3.6086	4.0349	3.388	3.561	3.4576	3.4768	3.5536	3.2444	3.593	3.2761	3.2009	3.5718	3.8864	3.4766	3.0032	3.4342	3.1325	3.5668	3.0028	3.6003	3.232	3.3792	3.1815	3.7247	3.3971	3.3964	3.2114	3.8374	3.4836	3.5795	3.9138	2.9121	3.3436	3.2003	2.8514	2.993	3.1055	3.1648	3.1982	3.3581	3.6023	3.9762	3.5554	3.5443	3.0603	3.0234	3.1555	3.1948	3.3433	4.0929	3.2413	3.6801	3.2733	3.2658	3.7654	3.3096	3.3922	3.3787	3.2791	4.2374	3.4548	3.1482	3.7099	3.4704	3.0047
"LOC101927914"	5.5193	4.2421	5.23	5.6015	5.1514	5.1531	5.9168	4.9292	4.8197	5.0734	5.2152	5.3146	4.883	4.9138	5.245	5.0762	5.0957	4.799	4.8433	5.3373	5.3831	4.9994	5.0748	4.9082	5.0306	5.5528	5.1025	5.2363	4.649	4.8571	4.9017	5.1291	4.9998	5.0027	5.2305	5.4702	4.9815	4.65	4.5583	5.0173	4.6327	4.9226	4.8006	5.1624	4.8813	4.9727	4.9502	5.4046	4.9891	5.2896	5.2749	5.2328	5.6677	6.1203	4.8932	5.6533	5.2569	5.3515	4.774	4.9562	5.1699	4.809	4.9947	5.2177	4.5758	5.1847	5.2404	5.0657	4.9829	5.2379	4.7379	4.8398	5.3694	4.8484	5.0589	5.2759	4.8847	5.197	5.2499	5.0249	5.4106	5.193	5.1528	4.9958	5.1609	5.0281	5.2432	5.6676	5.6687	5.0347	5.032	5.1864	5.2916	4.7461	4.8608	4.8121	5.0977	4.8765	4.9621	5.5844	4.9601	4.6775	4.8017	4.8035	4.6826	5.4178	5.3881	4.9319	5.2634	4.8855	4.7283	5.5213	4.9972	5.2515	5.5904	4.7513	5.2094	4.9588	5.2071	4.9802	4.7287	4.9365	4.6493	4.9652	5.2445	5.3702	4.8805	5.0708	6.1862	5.0824
"LOC101927929"	6.3037	5.6995	6.2649	6.53	5.6972	6.1342	6.5585	6.1361	6.3204	6.1376	5.9816	6.1726	6.0441	5.7343	5.9676	6.128	6.0443	5.8482	6.0584	6.2115	6.2318	6.002	5.9389	5.9563	5.953	6.7276	6.3822	6.3688	6.099	5.9872	6.2818	6.2345	5.9918	6.0843	6.0449	5.9781	6.1653	5.719	6.0068	5.9817	6.1662	5.7058	6.1454	5.9491	6.1685	5.897	6.1408	6.5986	6.0569	6.0241	6.0935	6.2618	6.0905	6.0575	5.8169	6.2621	5.8862	5.9284	5.5214	5.7406	5.9784	5.8228	5.5944	5.8821	6.0711	5.8096	6.1485	5.8676	6.1834	6.0746	6.057	6.4717	6.2049	6.5308	5.9571	6.1386	5.8026	6.1177	6.0603	5.9034	6.128	5.7523	5.903	5.9145	6.2113	6.0203	5.86	6.0395	6.0253	6.3607	5.884	6.2636	6.5168	6.3903	5.9655	6.2081	6.2757	6.0466	6.4247	5.9563	6.3569	6.1792	6.2874	6.2914	6.2212	6.0634	6.4721	6.2232	6.17	6.0547	5.9527	5.9443	6.0235	6.3427	6.6864	5.9337	6.504	6.5197	5.9024	6.3944	6.0156	5.7976	5.8797	5.8818	6.277	5.9855	5.859	6.3172	5.8406	5.6258
"LOC101927934"	4.399	4.1613	4.436	4.6772	4.6205	4.9812	5.0544	4.5431	4.4767	4.8103	4.9974	4.5832	4.6565	4.5217	4.7312	4.7319	4.8098	4.4285	4.3947	4.6873	4.8975	4.6353	4.8036	4.661	5.2298	4.8356	4.501	5.0051	4.4733	4.9314	4.6576	4.5615	4.5087	4.5894	4.6875	4.4659	4.8847	4.6928	4.1333	4.4814	4.5916	4.6149	4.5475	4.8488	4.6256	4.5184	4.8556	4.8217	4.5121	4.6183	4.684	5.198	4.5292	5.5589	4.4727	4.6862	5.0118	4.7513	3.8503	4.6436	4.6606	4.4415	4.4105	4.6899	4.6362	4.7436	4.9169	4.5075	4.7252	4.6603	4.4259	5.0163	4.5648	4.8368	4.7059	4.7059	4.6133	4.8451	4.549	4.6296	4.3963	4.2532	4.7529	4.7292	4.5203	4.3268	4.6711	5.3235	5.0735	4.5622	4.6806	4.5512	5.3967	4.9698	4.6703	4.5619	4.9004	4.5475	4.4542	5.0672	5.2724	4.7035	4.8506	4.7028	4.7155	4.7122	5.2677	4.7756	4.774	4.8091	5.4587	4.1121	4.7216	5.4579	5.4145	4.2828	5.6045	4.4021	4.8759	4.446	4.3581	4.2807	4.5048	4.433	4.7737	5.4098	4.1854	4.8684	4.9722	4.365
