"ID" "GSM244467"	"GSM244468"	"GSM244469"	"GSM244470"	"GSM244471"	"GSM244472"	"GSM244473"	"GSM244474"	"GSM244475"	"GSM244476"	"GSM244477"	"GSM244478"	"GSM244479"	"GSM244480"	"GSM244481"	"GSM244482"	"GSM244483"	"GSM244484"	"GSM244485"	"GSM244486"	"GSM244487"	"GSM244488"	"GSM244489"	"GSM244490"	"GSM244491"	"GSM244492"	"GSM244493"	"GSM244494"	"GSM244495"	"GSM244496"	"GSM244497"	"GSM244498"	"GSM244499"	"GSM244500"	"GSM244501"	"GSM244502"	"GSM244503"	"GSM244504"	"GSM244505"	"GSM244506"	"GSM244507"	"GSM244508"	"GSM244509"	"GSM244510"	"GSM244511"
"LOC101929312"	0.9764	0.7369	0.8675	0.8777	1.0338	0.8625	0.7442	0.8817	0.9276	0.825	1.2979	0.6734	0.6962	0.7981	0.7976	0.8877	1.2765	0.8409	0.8197	0.9241	1.3431	1.0566	0.7411	1	0.8092	1.0887	1.2651	1.0588	0.7554	1.1541	0.8819	0.9745	1.1833	0.8327	1.189	1.0768	0.8675	0.7447	0.9008	0.7442	0.9449	1.0007	1.054	0.7981	1.0965
"LOC101929315"	1.058	1.0507	0.9906	1.1708	0.8917	0.8974	1.0995	1.1954	1.0287	1.0705	1.1929	1.0166	0.8712	1.0259	1.2443	1.172	1.4347	1.1084	0.9368	1.1698	0.9148	0.9124	0.7939	1.0628	0.9275	1.3437	0.9366	1	1.0015	1.1074	1.0163	0.9216	1.1068	1.2116	0.9465	1.0517	1.2918	1.0299	1.2847	0.9886	1.1793	1.1095	0.9161	0.9809	1.0733
"LOC101929319"	1.5691	0.9988	0.9678	0.9747	1.0537	1.0243	1.0665	1.0429	1.0872	0.9446	1.0654	1.1147	0.9975	1.0047	0.9671	0.9128	1.1044	0.7738	0.9397	0.9504	1.031	0.9938	1.0603	0.8534	0.9789	0.8879	1.0247	1.0246	1.0346	1.0093	1.0452	0.9499	1.64	0.9468	1.1667	1.0265	1.0326	0.9824	0.9827	1.0152	0.8145	1	0.9789	1.106	1.0771
"LOC101929325"	1.5801	1.6152	1.3031	1.068	1.2034	1.2986	1.3278	1.1781	1.0906	1.1338	1.5767	1.4842	1.7567	1.1514	1.1411	1.2958	1.9307	1.1244	1.3216	1.0559	1.3392	1.5641	0.964	0.9307	0.8842	0.8736	1.418	1.3226	1.4473	1.1996	1	1.3914	2.4365	1.385	1.3429	1.7462	1.1923	1.0057	1.1469	1.3073	0.9188	0.981	0.8086	1.2129	1.6196
"LOC101929328"	1.4136	1.2255	1.0834	0.912	1.2342	1.086	1.1197	1.0699	1.6534	1.1289	1.3037	1.2853	1.1569	1.2706	1.3247	1.1987	1.1588	1.1079	1.3713	0.8852	1.3075	0.7955	0.914	0.7371	0.906	0.8059	1.276	1	1.198	1.1308	0.9001	0.887	1.7069	1.5485	1.1087	1.1363	1.1834	1.0394	1.0417	1.0458	1.0149	1.0494	1.0204	1.0545	1.1838
"LOC101929335"	1.2182	0.9867	1.1339	1.0246	1.025	0.9118	0.9323	0.8814	0.9896	1.0284	1.4079	1.1017	1.3124	0.928	0.9315	0.8933	1.1401	0.9672	0.9238	1.1989	1.2225	0.9687	0.7477	0.939	1.0495	0.8235	1.1275	0.9442	0.9408	0.9843	1.124	1.0215	1.363	0.9909	1.0731	1.2987	1.0166	0.9978	1.094	0.9797	1.0009	0.9722	1.2894	1.0808	1.3556
"LOC101929340"	1.0453	1.0019	1.0665	0.93	1.0271	0.9867	0.898	1.1684	1.1089	0.8518	1.2561	0.9725	0.9504	0.993	0.923	0.8635	1.5037	1.0754	0.9097	1.0001	0.8482	0.9435	1	0.9283	1.4906	0.6751	1.0546	1.0721	0.9541	0.8631	0.9154	1.0244	0.9025	1.1397	0.9465	1.2749	1.0645	1.0577	0.9265	0.9075	1.096	1.1035	0.9834	1.8106	1.6145
"LOC101929341"	0.9294	1.1272	1.0298	0.7858	0.8895	0.8391	0.8656	0.9743	0.9385	0.9719	1.3049	1.012	0.9685	0.8714	0.8452	0.9869	1.361	1.0417	0.9492	1.1333	1.1182	1.0098	0.8631	1.0192	0.83	0.8525	0.9877	1.1809	1.1776	0.9241	1.0067	1.109	1.1292	1.0015	0.9269	0.976	1.0384	0.8987	0.9833	1.0769	1.2095	1	0.9202	0.9153	0.9677
"LOC101929372"	1.4444	0.9861	0.8549	0.6206	1.3157	0.8947	0.8918	0.8493	0.8651	0.9544	0.9404	0.7694	1.028	0.7981	0.9583	0.8826	1.0508	0.6248	1.0372	0.5345	1.1077	1.3729	0.8731	0.7501	1.0916	0.9967	1	0.9165	1.9969	1.7422	0.9265	1.0632	1.5458	0.6951	1.2827	1.146	0.8413	1.4726	0.7317	1.1798	0.8609	0.9826	1.3628	1.5958	0.9733
"LOC101929378"	0.9144	0.8785	0.8564	0.776	0.9302	0.7735	1.0281	1.1363	0.7906	1.0255	1.0898	0.8742	0.9066	0.781	0.8172	0.874	1.18	0.8952	0.8634	0.7493	0.8742	1.0545	0.7787	0.9521	0.7309	0.847	1.0599	1.0268	1.0195	1.0393	0.898	0.8281	1.2662	0.8134	1.0473	1.0929	0.9961	0.7465	1.043	0.8242	1	0.951	1.324	1.314	1.1674
"LOC101929384"	0.821	0.8396	0.8299	0.6349	0.9417	0.8389	0.6541	0.8707	0.8321	0.7894	0.7559	0.6396	0.7479	0.5782	0.7142	0.8115	0.8823	0.6507	0.7211	0.899	0.8391	1.1199	1.0876	1.3361	1.0152	0.7842	0.7447	0.8053	1.104	1.4511	0.7604	1	1.7442	0.5937	1.1297	0.9591	0.6766	1.0209	0.6785	0.9314	0.7893	0.8736	0.8504	1.2662	0.8763
"LOC101929406"	1.2793	1.2973	0.9437	0.7113	1.3024	1.0166	0.821	0.8384	1.1354	0.8586	0.9356	1.0648	0.9518	1.2333	0.8456	0.8002	1.2732	0.8026	1.1414	0.6731	1.3551	0.9893	0.9883	1.0155	1.042	0.8311	1	0.8936	1.1632	1.1444	0.9197	1.2346	1.1586	0.7774	1.3272	1.3791	0.9445	0.9206	0.7828	1.0414	0.9405	1.0511	0.537	1.2171	1.1118
"LOC101929410"	1.6298	0.9954	0.7242	0.8289	1.0628	0.9697	0.9419	0.9412	0.919	1.0927	0.9367	1.1325	0.9745	0.921	0.8877	0.8846	0.9954	0.7697	0.6887	1.0497	1.0517	1.2335	0.8093	0.9866	1	0.8803	1.054	1.0732	1.0197	1.2242	0.9105	0.8736	1.144	0.561	1.212	0.9985	1.0313	1.1489	0.8108	1.018	0.9633	0.9797	1.5302	1.0625	1.1664
"LOC101929413"	1.1042	0.9846	0.7819	0.8634	0.9059	0.7541	0.9352	1.1464	0.8575	1.0588	1.1101	1.0158	0.9596	0.9333	0.9345	0.8967	1.1586	0.9168	1.1023	0.9368	0.8204	1.1053	0.9076	0.982	0.8676	0.8988	0.7666	1.0052	1.2401	1	0.9732	1.0702	1.2048	1.0447	1.2358	0.7686	1.3636	0.8899	0.7782	0.854	1.0679	0.9766	1.3705	1.121	1.5322
"LOC101929441"	1.1285	1.1768	0.6435	0.714	1.1126	1.029	0.8498	0.8926	1.0115	0.9446	1.2799	1.2734	1.051	0.7416	0.9629	0.815	1.2398	0.8482	1.0582	0.866	0.833	1.229	0.7119	1.071	0.7932	0.953	1.1085	1	1.392	0.9309	0.85	1.1105	1.334	0.5456	0.9864	1.3518	0.9055	0.9712	0.7062	0.998	0.8452	0.7901	1.0247	1.2161	0.7485
"LOC101929450"	0.7663	0.8541	0.9343	0.7805	0.9316	0.8203	0.873	0.8759	0.8187	0.8291	0.8586	0.8709	0.934	0.852	0.8605	0.9146	0.9655	0.8155	0.8504	0.8789	0.8347	1.0801	0.8672	0.959	1.1141	1.0236	0.99	1.1187	1.5969	0.9895	0.8007	0.9539	0.8949	0.9233	0.8763	0.9331	1.1133	1.0546	0.867	0.8273	1.1536	1.0121	0.8751	0.9872	0.9056
"LOC101929454"	1.0268	0.9694	0.9532	0.9411	0.8589	0.9604	1.0189	0.8866	1.0323	0.9688	1.0831	0.9317	0.8995	1.1749	1.0039	1.0482	1.1449	1.0039	0.888	0.942	0.9278	1.047	0.9148	0.8185	0.9165	0.8424	1.0481	1.0232	1.1931	0.9341	0.8027	0.9849	1.2629	1.0073	0.9913	0.8765	0.9338	1.1018	0.8829	0.9026	1	1.1568	1.1534	1.0219	1.1235
"LOC101929460"	0.929	0.9021	1.062	0.993	0.8252	0.8492	1.0273	0.8645	0.9407	0.897	1.16	1.0234	0.991	0.9449	0.9656	0.9129	0.8825	1.0083	0.8668	1.2294	0.9551	1.0026	0.8358	1.0332	1.2407	1	1.0083	0.964	1.0378	1.4898	0.8387	0.9863	0.7739	0.7882	0.9608	1.0093	1.1479	0.8451	1.0554	0.8771	1.084	0.9684	0.8828	0.9817	0.8803
"LOC101929464"	1.2721	0.9241	1.0529	0.9419	1.0421	1.0296	1.2479	1.0487	1.1783	1.0066	1.4704	1.0903	1.2596	0.9433	0.9313	1.1251	1.1594	0.8599	1.1713	0.9168	0.998	1.001	0.9683	0.9941	1.1449	0.9362	1.1762	1.0423	0.9474	0.8788	1.0091	1.1985	1.1335	0.8041	1.3596	1.0461	1.2802	0.9564	1.1522	0.9843	1	0.981	0.9134	1.0461	0.9955
"LOC101929473"	1.0582	1.0785	1.3771	0.8649	0.9732	1.0365	1.2178	0.9873	1.0583	1.068	1.8664	1.1643	1.4829	1.1635	1.0741	1.1407	1.3315	1.0691	1.2447	1.0862	1.056	0.7895	1.0093	0.9371	0.7692	0.9622	1.0997	0.8864	0.9378	1.0446	1	1.0929	1.0848	1.1821	1.1561	1.4211	1.016	0.9518	0.9993	0.8662	1.0751	1.0514	0.9245	1.2382	0.9684
"LOC101929475"	1.3172	1.0433	1.2324	0.9007	1.0063	1.1339	1.2055	0.945	1.0891	0.8584	1.116	1.0278	1.1274	1.0089	0.9438	1.0898	1.2607	0.834	1.1798	0.7005	0.6541	0.8378	0.7958	0.9386	1.1982	1.0746	1.1053	1.0154	1.2062	0.9578	1	1.0016	1.0132	1.0063	1.1657	1.3749	0.9486	0.8441	1.4818	0.9763	1.028	0.7724	0.9846	0.9137	1.084
"LOC101929478"	1.3702	1.1536	0.9663	0.8699	0.9643	1.0249	0.9971	1.0707	0.9941	1.0534	1.161	0.9975	1.3431	1.1704	1.043	0.9746	1.1464	0.9367	1.295	1.1131	0.975	1.1111	0.9617	0.8973	0.9035	0.8675	1.2506	0.8926	1.4052	1.1633	1.1467	1.148	1.9595	0.8659	1.1202	1.209	1.0358	0.9296	1.3404	1.0636	1.0099	0.9673	1	0.8488	1.0399
"LOC101929480"	1.1069	1.0938	0.9629	0.8344	1.0531	1.0163	0.8719	0.799	1.0876	0.915	1.0158	0.9165	0.9504	0.8869	0.7151	0.818	1.1802	0.6369	1.0096	0.8067	1.0534	1.0995	1	0.9381	1.2697	0.8842	1.0757	0.9387	1.4689	1.5829	0.9857	1.0283	1.5315	0.8814	1.0083	1.3557	0.9334	1.0356	0.8844	1.1968	0.8108	0.8904	0.7827	1.1992	1.3912
"LOC101929486"	1.1018	0.9003	0.9702	0.8281	1.1284	0.792	0.8993	0.8664	0.9547	0.8773	1.2139	0.9806	1.0349	0.8904	0.9024	0.7902	1.531	0.6956	1.096	0.8113	0.9342	1.0086	1.0025	0.9505	0.7251	0.9122	0.9695	1.1163	1.1766	0.9165	1.3352	1.0015	1.516	0.8882	1.5324	1.022	0.9144	0.9819	1.165	0.9409	1.0643	0.9958	1	0.8539	0.8211
"LOC101929488"	1.3516	1.4175	1.1716	0.9942	1.0582	0.9089	1.0307	1.128	1.0443	1.0924	1.4391	1.1833	1.6246	1.2009	1.1409	1.1053	1.1869	1.1166	1.0835	1.0163	1.174	1.062	0.8489	1	1.1121	0.9084	1.0772	0.9485	1.0771	1.2184	1.5703	0.9228	1.7498	1.4077	1.5105	1.5566	1.145	1.4427	1.0132	1.3268	0.9733	1.1336	0.931	0.8423	1.314
"LOC101929497"	0.9496	1.1032	1.009	0.9455	0.8383	0.8662	0.9656	0.9521	0.9675	0.902	0.9827	0.986	0.9974	0.9262	0.9431	1.0589	1.0637	0.9671	0.7931	1.1357	1.045	0.795	1.0141	1.0104	0.842	0.9568	1.1233	1.1945	1.0575	0.898	1.0424	1.1246	1.4883	1.1326	0.9706	1.0508	1.0161	0.9804	1.0133	0.9106	1.0253	1.0618	1.1601	0.7972	1.2358
"LOC101929504"	0.9874	0.9691	0.9368	0.7788	0.8022	0.8587	1.0983	0.9695	0.9529	0.9088	1.3791	0.9424	1.1747	0.8324	0.9103	0.9826	0.9554	0.9512	0.8438	0.9806	0.9864	1.268	0.69	0.9091	0.9385	0.8958	0.9446	1.0301	1.0585	1	1.0391	1.1137	1.402	0.8407	0.7826	1.0424	0.9247	0.8668	0.9755	0.8716	0.8887	1.0286	0.9235	1.2078	1.0142
"LOC101929505"	1.4965	1.2409	1.2246	0.9819	1.2483	0.9685	1.0586	0.9515	1.1532	0.9773	1.0533	1.0258	1.1426	0.895	1.1066	1.0794	1.4289	1.0713	1.3426	1.1267	1.2909	0.7811	0.7374	0.9439	0.8582	1.0611	0.9382	1.2775	1.7318	1.0674	1.1381	0.9801	1.7445	0.8491	1.4513	1.6857	0.9295	1.2762	1.3674	1.2821	1.0467	0.966	1	1.1474	1.6997
"LOC101929511"	1.2463	0.893	1.0391	0.9984	0.95	1.1305	1.1254	1.1029	1.2405	0.9836	1.0889	1.0023	1.0337	0.9789	1.0562	1.0424	0.8969	0.8135	0.9892	1.0359	0.9249	0.824	0.8547	0.7713	1.0514	0.8202	1.1502	0.9372	1.0201	1	0.9433	1.0255	0.8614	1.1284	0.9138	1.1751	0.9091	0.9303	0.9571	1.0464	0.8554	1.3567	1.2164	1.1287	0.9586
"LOC101929512"	1.1718	1.0115	0.8947	0.9869	0.9806	1.0067	0.9965	1.0241	1.0854	1.0157	1.1163	0.8627	1.2776	0.9833	0.9702	1.2164	1.1764	0.8738	0.9674	1.0774	1.1254	1.052	1.0173	0.8971	0.9352	1	0.9391	0.8564	0.8329	0.9485	0.9298	1.1218	1.5357	1.0511	1.1163	1.1561	1.2169	0.9364	1.0948	1.1881	1.0241	1.0536	1.4314	1.1737	0.8465
"LOC101929517"	1.0427	1.0566	1.2784	0.9391	1.1406	1.0337	1.1556	1.0946	1.0063	1.0415	1.3418	1.1312	1.0956	0.8733	1.0514	0.966	1.3167	1.1034	1.0905	0.9356	1.0149	1.0304	0.9763	0.9412	0.9821	0.8833	1	1.052	0.8584	1.1366	1.0838	1.0143	1.1949	1.1421	1.0951	1.0758	1.4003	1.0829	0.9958	1.1106	0.9188	1.3396	0.8278	1.0317	1.0169
"LOC101929524"	0.9245	0.967	0.8893	0.8122	0.8557	0.7931	0.8073	0.8172	0.8012	0.9132	0.8841	0.8619	0.9877	0.9638	0.9075	0.85	0.94	0.8736	0.9157	0.9208	0.9402	0.8554	0.921	0.8556	0.8716	0.8837	1.0824	0.9438	1.0574	1.2134	1.1706	1.1613	1.4161	0.7534	1.0216	0.9185	0.9367	0.8699	0.8668	0.9974	1	0.9134	1.0403	1.0346	0.8963
"LOC101929526"	1.1687	1.0207	1.0432	0.8065	0.9321	0.9259	0.7837	0.9497	1.1723	0.953	1.0179	0.9112	1.1003	0.9943	0.9763	0.9813	1.2594	0.8144	0.7909	0.826	0.8908	1.0835	0.9393	0.9523	0.9156	1	0.9338	1.0887	1.6317	0.876	0.7309	0.9092	1.1284	1.1406	1.2956	1.0067	0.901	1.0299	0.9628	0.9561	1.0488	1.002	1.0984	1.0991	0.7851
"LOC101929528"	0.9508	0.9397	0.9018	0.9345	0.8645	0.8188	0.9793	0.9837	0.8591	0.8879	1.1996	1.0223	1.0574	0.8525	0.9043	0.8235	1.0514	0.8966	0.7882	0.8647	0.9614	0.9926	1.0066	1.0274	1	1.0176	1.0329	0.9962	1.1262	1.0017	0.9356	0.9668	1.2754	1.1505	0.9153	0.9298	1.1108	0.9347	1.0378	0.9056	0.936	1.2367	0.8297	0.9505	1.0989
"LOC101929529"	1.2344	1.1598	1.101	1.1089	0.9977	1.0984	0.9867	0.9962	1.0565	1.0726	1.162	1.1354	1.1202	1.323	1.0603	1.0636	0.9889	1.078	0.9951	1.0989	1.0991	1.0837	0.8228	0.8257	0.9907	1.0099	0.9295	1.0241	1.1931	1.1246	0.8569	1.078	1.1484	1.1178	1.1903	1.0726	1.101	1.1916	0.8785	1.0533	1	0.9971	0.8321	1.166	1.2669
"LOC101929538"	1.0712	1.1181	1.3449	1.0316	1.1952	0.9849	1.1302	1.2347	1.0045	1.0025	1.1589	1.165	1.0029	1.0322	0.931	1.0502	1.1975	1.2132	0.917	1.19	1.1105	1.0517	0.903	0.9321	0.8755	0.9075	1.1573	1.1262	0.9851	1	1.1495	0.9566	1.0657	0.8524	1.194	1.4664	1.4861	1.0835	1.0426	1.0566	1.0086	0.8584	1.0582	1.1534	1.1248
"LOC101929549"	1.1935	1.1333	0.9424	0.8906	1.0662	0.8091	0.9427	0.8038	1.1509	1.0546	1.0399	1.3773	1.2004	1.1097	0.9415	1.0031	1.3186	1.0149	1.1857	0.783	1.0438	1.3031	0.8609	0.7305	1	0.7092	0.9952	1.1618	1.4093	0.9964	1.0531	1.1275	2.0276	0.8359	1.7183	1.6452	0.8094	1.1097	0.926	1.1516	0.9125	0.9054	1.1549	1.0461	0.9965
"LOC101929552"	1.4545	1.0462	0.8179	0.7398	1.3087	0.9532	0.8952	1.0064	1.1549	1.1562	0.7576	1.0402	1.0964	0.84	0.8838	0.8246	0.905	0.7654	0.9892	0.8774	1.1053	1.0752	0.664	0.8467	1.1262	0.9056	1.0077	1	1.4758	1.4456	0.8323	0.9653	1.485	0.7656	1.7641	1.5351	0.6147	1.5519	0.8445	1.2855	0.9368	0.8676	1.2242	1.0628	0.9608
"LOC101929570"	1.0733	1.166	1.161	1.0108	0.9867	0.9586	1.1101	1.0785	0.9213	1.0304	0.9332	1.0267	1.1124	1.0129	1.0098	1.1143	1.1053	0.9745	1.1194	0.9843	1.2971	1.1092	1.0829	1.0063	0.9671	1.029	0.9547	1.0343	0.8914	1	0.9899	0.8499	1.3704	1.3132	1.0608	1.2643	1.0135	1.0341	0.9522	0.9156	1.0702	1.029	0.9983	0.9409	1.164
"LOC101929584"	1.052	1.2321	0.8439	0.8213	1.0905	1.0041	0.9027	0.7618	1.1459	0.8565	1.108	1.0691	1.2324	0.9999	0.9887	0.7685	1.2583	0.8887	0.9244	0.9735	1.1686	1	0.7471	0.9674	0.9162	0.833	1.1822	0.9181	1.0967	1.165	0.9492	1.0259	1.5976	0.9185	1.2099	1.6671	0.9478	1.3514	0.8975	1.2421	0.8121	1.0111	1.1124	1.1691	1.2321
"LOC101929586"	1.0785	0.9383	0.6701	0.6569	0.9763	0.8792	1.0213	0.9739	0.9209	0.8803	1.2043	0.7877	0.9144	0.816	0.8141	0.8091	1.0691	0.6932	0.8304	0.8067	0.9269	1.0979	1.0083	0.9366	0.9967	0.8893	0.9417	1.0092	1.0962	0.9493	0.9371	1	1.0894	0.7501	1.0408	1.1452	0.8975	0.8412	0.9229	0.9456	1.0446	0.9705	1.052	1.0482	0.9132
"LOC101929592"	1.4215	1.0379	1.278	1.2065	1.4781	1.1797	1.3924	1.2448	1.2182	1.2587	1.2421	1.4792	1.2079	1.1978	1.2308	1.2337	1.1637	1.021	1.0816	1.259	1.3484	0.9925	0.9887	1.3047	0.9697	1.0722	0.9813	1	1.6203	1.2496	0.9419	0.8217	1.2064	1.3092	1.7221	1.7585	1.4268	1.1445	1.1903	0.9961	0.9824	1.1297	1.3151	1.0204	1.5739
"LOC101929607"	1.0282	0.9137	1.018	1.0587	0.9542	0.9543	1.0633	1.089	1.0536	0.9608	1.0497	1.0543	1.0146	0.9919	0.9406	1.1076	1.0298	1.0292	1.121	1.0017	1.0606	0.9573	0.9305	0.9908	0.929	1.0809	0.9909	1.0833	0.9312	0.9263	1.0026	1.0559	1.4588	1.0303	1.0143	1.0499	1.1507	0.9784	1.0428	0.9604	1.0846	1.1504	1.1628	1.0221	1.0259
"LOC101929609"	0.958	0.9507	0.8945	0.5554	1.1611	0.7045	0.704	0.7651	0.9461	0.6921	0.6968	0.8106	0.895	0.9149	0.8197	0.8203	0.8223	0.8132	0.5757	0.7588	0.9928	1.1019	0.7879	0.9999	1.5778	1.1751	0.7683	0.9499	1	0.9705	1.0975	0.8969	1.1462	0.7144	1.0295	1.0875	0.5402	1.1204	0.4685	0.8999	0.9806	1.2048	1.7161	1.9106	1.625
"LOC101929622"	0.9766	0.9311	1.0346	1.1259	1.1401	1.0069	0.8669	0.8824	0.9296	0.8657	0.9585	1.1693	1.1307	0.9738	1.1016	1.0954	1.0161	1.0349	0.9485	1.2271	1.093	1.1616	1.0444	1	0.9919	1.0476	0.9453	0.8292	0.8182	1.02	0.9442	1.0281	2.0657	1.0925	1.0247	1.4028	1.0629	0.9379	1.0805	0.9364	1.0879	0.93	0.8869	1.0722	1.1756
"LOC101929628"	1.0449	1.1694	1.0826	0.9356	0.7955	0.9307	1.0207	0.9939	0.9453	0.926	1.6955	0.9837	1.0017	1.0643	0.9374	0.9274	1.8494	1.0516	1.0295	0.9685	0.8839	0.9694	1.0302	1.0028	1.0758	0.9364	1.1809	0.9791	1.0121	0.9178	1.029	1.0744	1.0865	1.0555	0.8797	1.1259	1.2057	0.9133	1.0816	0.9084	0.9237	0.9708	0.8326	1	1.0123
"LOC101929631"	1.3188	1.2986	1.4827	1.0093	1.2256	1.0771	0.9446	0.9791	1.2941	1.1452	1.2108	1.2717	1.1158	1.1704	1.2322	1.0732	1.1947	0.767	1.1737	0.8121	1.2146	1.058	0.7059	0.8888	0.9192	0.965	1.104	1.4482	1.1722	0.993	0.9685	1.0908	1.8233	1.1016	1.4872	1.1687	1.3939	0.9635	1.2122	0.913	1.0307	0.8481	1	1.0456	1.3383
"LOC101929645"	1.1931	1.2164	0.8675	0.9275	0.9317	0.9841	0.8621	0.9434	1.1134	1.1411	0.9699	1.2051	1.056	0.9716	1.1374	0.8688	1.0179	0.8709	0.9583	0.9916	1.2242	0.9942	1.0174	1.1613	1.1121	1	1.0732	0.9249	0.9156	1.0922	0.7336	0.9714	1.5993	0.9274	1.2064	0.8352	0.9535	0.9465	0.895	1.2739	0.975	1.0042	1.0305	0.9386	0.9756
"LOC101929648"	1.3791	1.0074	1.0223	1.0045	0.8756	0.9505	0.8514	0.8126	0.9667	0.9611	1.1562	1.1876	1.441	1.1593	0.9926	0.9907	1.1728	1.0994	1.0426	1.0098	1.3541	0.93	0.7588	0.9607	0.8816	1.0699	0.8844	1.0959	1.1417	1.1671	1.0085	1.0965	2.1446	1.161	1.2656	1.6021	1.1143	1.1231	1.1032	1.0267	0.8494	0.9381	1.032	1	1.3761
"LOC101929655"	1.0935	0.8228	0.7861	0.632	1.0908	0.7589	0.7696	0.6201	0.9093	0.6929	0.6135	0.7141	0.8736	0.6794	0.6764	0.7995	0.7291	0.6759	0.7893	0.9478	0.869	0.8132	0.9573	0.9178	1.012	1.032	1.0614	0.8895	1.0805	1.4773	1.0534	1	1.2466	0.6743	1.4071	0.8814	0.6722	1.3478	0.5505	1.0171	0.8533	0.7068	1.0085	0.9278	0.8159
"LOC101929657"	1.1943	1.0054	1.0577	0.8538	0.9826	0.9298	1.0771	1.0626	0.9525	1.1402	1.2205	1.1497	1.0729	1.1682	0.9407	1.0927	1.2208	0.858	0.985	1.1165	1.1019	0.9488	1.0042	0.8317	1.3022	0.8307	1.0823	1.1989	1.2713	0.9943	0.8961	1	1.5523	1.1406	1.3822	1.0611	1.0951	0.9755	0.9977	0.9236	0.9933	1.0123	1.247	0.9871	1.2258
"LOC101929668"	1.081	1.2339	1.212	0.9252	1.4333	1.2579	1.0696	1.128	1.2505	1.2169	0.9499	1.6822	1.9799	1.144	1.111	1.0284	1.1302	0.8686	1.0718	1.0406	1.1368	1.5208	1.0152	0.9569	1	1.0371	0.9121	1.0154	1.1655	0.7973	0.8477	0.8683	1.0537	1.2675	1.3253	1.2616	1.1174	1.2249	1.2425	1.2872	1.1615	1.2292	0.9801	0.8954	1.0417
"LOC101929681"	0.8694	1.2678	0.8666	0.8472	1.0083	0.9749	0.8587	1.0314	0.9945	0.9928	0.7887	0.8198	1.0662	0.8403	0.8726	1.0083	1.1	0.7658	0.7794	0.7975	0.9681	1.0726	0.775	0.9879	0.6777	1	1.1243	1.1444	1.3828	0.9319	1.4059	0.9943	1.0651	0.9687	1.2221	1	1.0471	1.2541	0.9861	0.9857	1.0176	1.0881	0.9772	0.9328	1.007
"LOC101929683"	1.1994	0.9386	0.8403	0.755	1.0174	0.7701	0.7326	0.6539	1.1833	0.8389	1.1632	0.781	1.027	0.8115	0.9409	0.8274	1.2717	0.7524	1.0754	0.6667	0.7884	1.037	0.7766	0.886	1.0699	0.9864	1.3474	1.1226	1.1026	1	0.936	0.9573	1.4876	0.8625	1.8567	1.3066	0.7107	0.7967	0.7423	0.8173	0.9485	1.1204	0.9408	1.3313	0.8194
"LOC101929684"	1.3243	1.1657	1.0319	0.9252	1.1831	1.079	1.0954	1.1202	1.2278	1.1292	2.0086	1.1092	1.2954	1.1952	1.0765	1.229	1.5946	0.9883	1.2358	1.0921	1.3435	1	0.8419	1.02	0.8824	0.8565	1.4308	0.9525	1.0979	0.899	1.6414	1.1292	1.7759	1.2414	1.4419	1.6081	1.2129	1.0186	0.8935	1.3583	0.9664	0.8934	1.215	1.1804	1.4621
"LOC101929690"	0.977	0.9271	1.0146	1.0088	0.8789	0.9559	0.8008	0.8379	0.9683	1.034	1.2022	0.9926	0.9864	1.079	0.8621	0.8875	1.0557	0.8947	1.0063	0.9397	0.9476	1.047	1.2294	0.9317	0.8094	0.8738	0.9711	1.0582	0.8816	0.9128	1	0.929	1.0895	0.9547	1.0679	0.9505	1.1139	0.9782	0.8775	0.839	1.0566	1.0214	1.0727	1.1221	1.1742
"LOC101929694"	1.2468	0.9165	0.7019	0.744	0.7744	0.8536	0.7	0.7809	0.9551	0.9271	0.8194	0.8201	0.8191	0.7951	0.9557	0.8133	0.9055	0.9551	0.7947	0.7893	1.0124	1	0.8926	0.8305	1.1434	0.8574	0.988	1.0317	0.9922	1.0143	0.8427	1.0543	1.0981	0.8203	0.9983	1.0872	0.8104	0.8034	0.739	0.7027	1.0572	0.8509	1.0052	1.3383	1.0317
"LOC101929705"	0.9766	0.9194	0.8906	0.6939	1.1377	0.8202	0.7175	0.7839	1.2514	0.9105	0.9532	0.7847	0.9839	0.834	0.8449	0.7657	0.8698	0.8833	0.7564	0.7254	1.2258	1.1044	0.9393	0.8438	1.2894	0.9907	1.3377	1	1.0978	1.1377	0.9993	1.1699	1.014	0.8419	1.1134	1.3725	0.847	0.9718	0.6963	0.9583	0.91	0.8611	1.2155	0.9633	1.2677
"LOC101929709"	2.0978	1.1621	0.978	1.2494	1.1176	1.1802	1.1804	1.4668	1.0476	1.286	0.9903	1.4404	1.0548	1.0812	1.1798	1.0972	1.0779	1.1135	1.0642	0.9077	1.0856	0.8125	0.9899	1.1444	0.8817	1.0845	1.1521	1.049	0.8108	0.8341	1.2396	1	1.1562	1.0344	1.1419	1.3719	1.0412	0.9776	1.0029	1.0757	1.0493	0.7698	1.0902	0.9725	0.983
"LOC101929717"	1.2153	1.025	0.9684	1.0253	1.3571	1.1747	1.058	0.9896	1.016	1.2476	1.7465	1.0834	1.114	0.9355	1.043	0.9295	1.4275	1.0894	1.3144	0.9711	1.2969	1.1199	0.8765	0.852	0.7244	0.8764	1.3094	1.0231	1	0.9935	0.9514	1.3433	1.5248	0.8021	1.3668	1.2756	1.2122	0.8851	1.1432	1.203	1.0133	0.8784	1.0259	1.1187	1.2776
